NHS Region,Date,Median,Lower 95% CrI,Upper 95% CrI
East of England,2020-11-08,1.35923907833113,1.18165085728802,1.53225733859009
East of England,2020-11-07,1.36062120790402,1.18214463501422,1.53589408401286
East of England,2020-11-06,1.36190117631089,1.1826161420976,1.53894372968738
East of England,2020-11-05,1.36308413293342,1.18306616466548,1.54168241670737
East of England,2020-11-04,1.36419272168448,1.18350234578688,1.54425976417477
East of England,2020-11-03,1.3652706019377,1.18394026255717,1.54679777396066
East of England,2020-11-02,1.06329283101944,0.920171236378572,1.20574312233745
East of England,2020-11-01,1.06386056162633,0.920510503890097,1.20692035258608
East of England,2020-10-31,1.06442088042827,0.92085580161872,1.20805231976244
East of England,2020-10-30,1.06497376848163,0.921207184259768,1.20914042308599
East of England,2020-10-29,1.06557570321357,0.921564726384114,1.21018609358018
East of England,2020-10-28,1.06627605054572,0.921928581488066,1.21119095831975
East of England,2020-10-27,1.06696724258801,0.922298980794938,1.21215682342715
East of England,2020-10-26,1.0631355886074,0.918793856891984,1.2081738201708
East of England,2020-10-25,1.06388541807228,0.919174242782878,1.20905785080405
East of England,2020-10-24,1.06462550972023,0.919561626499396,1.20990747969116
East of England,2020-10-23,1.06522222004357,0.919956635401416,1.21078900638029
East of England,2020-10-22,1.0657435366381,0.9203588545646,1.21166200036257
East of England,2020-10-21,1.06620526944255,0.920763791344215,1.21249230531594
East of England,2020-10-20,1.06664576630567,0.921162487373743,1.2132637613937
East of England,2020-10-19,1.31349995865895,1.13449115515261,1.49666000935207
East of England,2020-10-18,1.31464676082693,1.1351472263407,1.49801541109125
East of England,2020-10-17,1.31572768966772,1.13578596726199,1.49925340562725
East of England,2020-10-16,1.31674693338711,1.13640799897734,1.50038293998224
East of England,2020-10-15,1.31770806079154,1.13701363588445,1.50141238160089
East of England,2020-10-14,1.31861072329435,1.13760160731197,1.50236442269049
East of England,2020-10-13,1.31944983094185,1.13816880543705,1.50324983973212
East of England,2020-10-12,1.36252875301309,1.19209163679356,1.56451667228655
East of England,2020-10-11,1.363265239052,1.19253062592876,1.56538628740685
East of England,2020-10-10,1.36393908656827,1.19295408355153,1.5661782882903
East of England,2020-10-09,1.36457091730219,1.19336333263033,1.56689878498479
East of England,2020-10-08,1.36515651277112,1.19375868842036,1.56755417605234
East of England,2020-10-07,1.36569935602409,1.19413579732351,1.56815406023366
East of England,2020-10-06,1.36619500381018,1.1944852967018,1.56871137168048
East of England,2020-10-05,1.45285300323229,1.24524775511252,1.68911015046834
East of England,2020-10-04,1.45335242261239,1.24560517135489,1.68977626574541
East of England,2020-10-03,1.45381324856664,1.24594542501305,1.69036718321741
East of England,2020-10-02,1.45418633940785,1.24626948195474,1.69089034643205
East of England,2020-10-01,1.45451443278966,1.24657809741919,1.69135249568154
East of England,2020-09-30,1.45482400303854,1.24687074415109,1.69176394981504
East of England,2020-09-29,1.45510907604332,1.24714537226533,1.69214015819953
East of England,2020-09-28,1.464901603408,1.26663281672437,1.72771713702516
East of England,2020-09-27,1.46515452773618,1.26683761286966,1.72802513472684
