AREA,CODE,POPULATION,DENSITY,SQUARE_KM_AREA,LAT,LONG
County Durham,E06000047,530094.0,238.0,2226.0,54.685131,-1.8405
Darlington,E06000005,106803.0,541.0,197.0,54.535339,-1.56835
Hartlepool,E06000001,93663.0,999.0,94.0,54.67614,-1.27018
Middlesbrough,E06000002,140980.0,2616.0,54.0,54.54467,-1.21099
Northumberland,E06000057,322434.0,64.0,5018.0,55.300369,-2.07523
Redcar and Cleveland,E06000003,137150.0,560.0,245.0,54.56752,-1.00608
Stockton-on-Tees,E06000004,197348.0,963.0,205.0,54.556911,-1.30664
Gateshead,E08000037,202055.0,1419.0,142.0,54.931198,-1.6868
Newcastle upon Tyne,E08000021,302820.0,2669.0,113.0,55.021011,-1.65297
North Tyneside,E08000022,207913.0,2526.0,82.0,55.028961,-1.50923
South Tyneside,E08000023,150976.0,2343.0,64.0,54.969879,-1.44679
Sunderland,E08000024,277705.0,2021.0,137.0,54.857189,-1.43344
Blackburn with Darwen,E06000008,149696.0,1092.0,137.0,53.700802,-2.4636
Blackpool,E06000009,139446.0,3999.0,35.0,53.82164,-3.02199
Cheshire East,E06000049,384152.0,329.0,1166.0,53.167931,-2.29299
Cheshire West and Chester,E06000050,343071.0,373.0,920.0,53.163361,-2.70298
Halton,E06000006,129410.0,1636.0,79.0,53.33424,-2.68853
Warrington,E06000007,210014.0,1163.0,181.0,53.391628,-2.56167
Cumbria,E10000006,500012.0,74.0,6768.0,54.636379,-2.90213
Bolton,E08000001,287550.0,2057.0,140.0,53.584492,-2.47952
Bury,E08000002,190990.0,1920.0,99.0,53.593102,-2.3088
Manchester,E08000003,552858.0,4781.0,116.0,53.470089,-2.23359
Oldham,E08000004,237110.0,1666.0,142.0,53.557678,-2.05274
Rochdale,E08000005,222412.0,1407.0,158.0,53.60741,-2.14784
Salford,E08000006,258834.0,2663.0,97.0,53.479271,-2.38485
Stockport,E08000007,293423.0,2328.0,126.0,53.391159,-2.12467
Tameside,E08000008,226493.0,2196.0,103.0,53.478668,-2.077
Trafford,E08000009,237354.0,2238.0,106.0,53.41671,-2.36572
Wigan,E08000010,328662.0,1747.0,188.0,53.51445,-2.57247
Lancashire,E10000017,1219799.0,422.0,2894.0,53.86216,-2.46091
Knowsley,E08000011,150862.0,1744.0,87.0,53.437881,-2.83297
Liverpool,E08000012,498042.0,4453.0,112.0,53.408298,-2.91364
Sefton,E08000014,276410.0,1765.0,157.0,53.482101,-2.99177
St. Helens,E08000013,180585.0,1324.0,136.0,53.458618,-2.7031
Wirral,E08000015,324011.0,2013.0,161.0,53.374779,-3.06701
East Riding of Yorkshire,E06000011,341173.0,142.0,2404.0,53.881119,-0.66195
"Kingston upon Hull, City of",E06000010,259778.0,3629.0,72.0,53.769199,-0.30382
North East Lincolnshire,E06000012,159563.0,828.0,193.0,53.52327,-0.13911
North Lincolnshire,E06000013,172292.0,204.0,846.0,53.58643,-0.52407
York,E06000014,210618.0,775.0,272.0,53.96582,-1.07375
North Yorkshire,E10000023,618054.0,77.0,8037.0,54.093712,-1.55032
Barnsley,E08000016,246866.0,750.0,329.0,53.525768,-1.54925
Doncaster,E08000017,311890.0,549.0,568.0,53.52697,-1.10894
Rotherham,E08000018,265411.0,926.0,287.0,53.395531,-1.28651
Sheffield,E08000019,584853.0,1590.0,368.0,53.40358,-1.54254
Bradford,E08000032,539776.0,1473.0,366.0,53.843819,-1.87389
Calderdale,E08000033,211455.0,581.0,364.0,53.720482,-1.96182
Kirklees,E08000034,439787.0,1076.0,409.0,53.64233,-1.78085
Leeds,E08000035,793139.0,1438.0,552.0,53.822731,-1.50736
Wakefield,E08000036,348312.0,1029.0,339.0,53.659222,-1.42092
Derby,E06000015,257302.0,3297.0,78.0,52.914639,-1.47189
Leicester,E06000016,354224.0,4830.0,73.0,52.635921,-1.1304
Nottingham,E06000018,332900.0,4462.0,75.0,52.954189,-1.16667
Rutland,E06000017,39927.0,105.0,382.0,52.667648,-0.6263
Derbyshire,E10000007,802694.0,315.0,2547.0,53.078579,-1.6021
Leicestershire,E10000018,706155.0,339.0,2083.0,52.68779,-1.3779
Lincolnshire,E10000019,761224.0,128.0,5939.0,53.111019,-0.23884
Northamptonshire,E10000021,753278.0,319.0,2364.0,52.31105,-0.86668
Nottinghamshire,E10000024,828224.0,397.0,2085.0,53.128502,-1.00656
"Herefordshire, County of",E06000019,192801.0,88.0,2180.0,52.081539,-2.73931
