date,traffic
2020-02-01,1.00000
2020-02-02,1.00000
2020-02-03,1.00000
2020-02-04,1.00000
2020-02-05,1.00000
2020-02-06,1.00000
2020-02-07,1.00000
2020-02-08,0.99805
2020-02-09,0.79344
2020-02-10,0.99108
2020-02-11,0.98142
2020-02-12,1.00120
2020-02-13,0.99557
2020-02-14,1.00446
2020-02-15,0.87307
2020-02-16,0.90191
2020-02-17,0.97553
2020-02-18,0.96948
2020-02-19,0.97306
2020-02-20,0.96041
2020-02-21,0.96858
2020-02-22,0.97365
2020-02-23,1.01557
2020-02-24,0.97128
2020-02-25,0.99985
2020-02-26,0.99926
2020-02-27,0.99237
2020-02-28,0.99242
2020-02-29,0.98217
2020-03-01,1.03133
2020-03-02,1.02144
2020-03-03,1.01341
2020-03-04,1.00656
2020-03-05,0.99777
2020-03-06,1.02190
2020-03-07,1.00793
2020-03-08,1.04658
2020-03-09,1.01501
2020-03-10,0.99394
2020-03-11,0.98933
2020-03-12,0.97776
2020-03-13,0.97562
2020-03-14,0.92977
2020-03-15,0.94051
2020-03-16,0.96203
2020-03-17,0.86511
2020-03-18,0.79955
2020-03-19,0.79126
2020-03-20,0.78129
2020-03-21,0.69990
2020-03-22,0.66259
2020-03-23,0.63999
2020-03-24,0.44186
2020-03-25,0.37239
2020-03-26,0.34740
2020-03-27,0.34566
2020-03-28,0.27057
2020-03-29,0.22974
2020-03-30,0.32667
2020-03-31,0.32252
2020-04-01,0.31846
2020-04-02,0.31710
2020-04-03,0.33509
2020-04-04,0.28360
2020-04-05,0.25080
2020-04-06,0.33475
2020-04-07,0.32852
2020-04-08,0.33605
2020-04-09,0.36134
2020-04-10,0.26561
2020-04-11,0.28976
2020-04-12,0.22332
2020-04-13,0.23113
2020-04-14,0.34942
2020-04-15,0.34329
2020-04-16,0.34302
2020-04-17,0.35154
2020-04-18,0.30679
2020-04-19,0.29151
2020-04-20,0.37516
2020-04-21,0.37036
2020-04-22,0.37230
2020-04-23,0.37399
2020-04-24,0.38659
2020-04-25,0.35276
2020-04-26,0.32310
2020-04-27,0.39784
2020-04-28,0.37481
2020-04-29,0.37958
2020-04-30,0.38533
2020-05-01,0.40212
2020-05-02,0.37664
2020-05-03,0.33911
2020-05-04,0.41870
2020-05-05,0.41580
2020-05-06,0.42570
2020-05-07,0.45003
2020-05-08,0.33310
2020-05-09,0.38500
2020-05-10,0.34867
2020-05-11,0.44557
2020-05-12,0.45176
2020-05-13,0.48356
2020-05-14,0.49460
2020-05-15,0.50962
2020-05-16,0.52358
2020-05-17,0.50477
2020-05-18,0.53067
2020-05-19,0.53928
2020-05-20,0.55732
2020-05-21,0.54361
2020-05-22,0.55604
2020-05-23,0.55219
2020-05-24,0.55399
2020-05-25,0.50561
2020-05-26,0.58732
2020-05-27,0.58825
2020-05-28,0.59355
2020-05-29,0.61862
2020-05-30,0.66246
2020-05-31,0.67170
2020-06-01,0.64913
2020-06-02,0.64933
2020-06-03,0.58546
2020-06-04,0.59613
2020-06-05,0.61649
2020-06-06,0.62607
2020-06-07,0.63383
2020-06-08,0.62902
2020-06-09,0.64403
2020-06-10,0.61095
2020-06-11,0.61229
2020-06-12,0.63568
2020-06-13,0.72705
2020-06-14,0.73745
2020-06-15,0.69609
2020-06-16,0.67514
2020-06-17,0.67042
2020-06-18,0.64873
2020-06-19,0.70428
2020-06-20,0.82983
2020-06-21,0.81304
2020-06-22,0.72466
2020-06-23,0.73597
2020-06-24,0.75921
2020-06-25,0.75989
2020-06-26,0.74335
2020-06-27,0.75522
2020-06-28,0.76575
2020-06-29,0.72020
2020-06-30,0.72653
2020-07-01,0.73073
2020-07-02,0.73257
2020-07-03,0.75026
2020-07-04,0.81668
2020-07-05,0.83908
2020-07-06,0.79051
2020-07-07,0.75698
2020-07-08,0.75100
2020-07-09,0.75812
2020-07-10,0.82764
2020-07-11,0.90461
2020-07-12,0.95043
2020-07-13,0.80455
2020-07-14,0.79189
2020-07-15,0.79061
2020-07-16,0.80998
2020-07-17,0.86441
2020-07-18,0.91157
2020-07-19,0.94883
2020-07-20,0.84824
2020-07-21,0.83027
2020-07-22,0.81865
2020-07-23,0.80731
2020-07-24,0.87757
2020-07-25,0.89835
2020-07-26,0.96503
2020-07-27,0.79724
2020-07-28,0.82212
2020-07-29,0.83610
2020-07-30,0.85670
2020-07-31,0.91651
2020-08-01,0.96802
2020-08-02,0.99583
2020-08-03,0.87691
2020-08-04,0.83158
2020-08-05,0.83869
2020-08-06,0.85461
2020-08-07,0.89436
2020-08-08,0.98575
2020-08-09,1.01600
2020-08-10,0.89754
2020-08-11,0.86066
2020-08-12,0.86423
2020-08-13,0.84982
2020-08-14,0.89500
2020-08-15,0.95762
2020-08-16,0.95157
2020-08-17,0.88197
2020-08-18,0.86330
2020-08-19,0.83602
2020-08-20,0.89339
2020-08-21,0.88823
2020-08-22,0.96694
2020-08-23,0.99439
2020-08-24,0.91986
