area,Date,P_08,P_09,P_10,P_11,P_12,P_15,P_20,provenance
Buckinghamshire,2020-08-01,0.81,0.56,0.30,0.14,0.05,0.00,0.00,inferred
Buckinghamshire,2020-08-02,0.81,0.56,0.30,0.14,0.05,0.00,0.00,inferred
Buckinghamshire,2020-08-03,0.81,0.56,0.30,0.14,0.05,0.00,0.00,inferred
Buckinghamshire,2020-08-04,0.81,0.56,0.30,0.14,0.05,0.00,0.00,inferred
Buckinghamshire,2020-08-05,0.81,0.56,0.30,0.14,0.05,0.00,0.00,inferred
Buckinghamshire,2020-08-06,0.81,0.56,0.30,0.14,0.05,0.00,0.00,inferred
Buckinghamshire,2020-08-07,0.81,0.56,0.30,0.14,0.05,0.00,0.00,inferred
Buckinghamshire,2020-08-08,0.96,0.82,0.56,0.30,0.13,0.01,0.00,inferred
Buckinghamshire,2020-08-09,0.96,0.82,0.56,0.30,0.13,0.01,0.00,inferred
Buckinghamshire,2020-08-10,0.96,0.82,0.56,0.30,0.13,0.01,0.00,inferred
Buckinghamshire,2020-08-11,0.96,0.82,0.56,0.30,0.13,0.01,0.00,inferred
Buckinghamshire,2020-08-12,0.96,0.82,0.56,0.30,0.13,0.01,0.00,inferred
Buckinghamshire,2020-08-13,0.96,0.82,0.56,0.30,0.13,0.01,0.00,inferred
Buckinghamshire,2020-08-14,0.96,0.82,0.56,0.30,0.13,0.01,0.00,inferred
Buckinghamshire,2020-08-15,0.85,0.58,0.29,0.11,0.03,0.00,0.00,inferred
Buckinghamshire,2020-08-16,0.85,0.58,0.29,0.11,0.03,0.00,0.00,inferred
Buckinghamshire,2020-08-17,0.85,0.58,0.29,0.11,0.03,0.00,0.00,inferred
Buckinghamshire,2020-08-18,0.85,0.58,0.29,0.11,0.03,0.00,0.00,inferred
Buckinghamshire,2020-08-19,0.85,0.58,0.29,0.11,0.03,0.00,0.00,inferred
Buckinghamshire,2020-08-20,0.85,0.58,0.29,0.11,0.03,0.00,0.00,inferred
Buckinghamshire,2020-08-21,0.85,0.58,0.29,0.11,0.03,0.00,0.00,inferred
Buckinghamshire,2020-08-22,0.93,0.75,0.46,0.23,0.09,0.01,0.00,inferred
Buckinghamshire,2020-08-23,0.93,0.75,0.46,0.23,0.09,0.01,0.00,inferred
Buckinghamshire,2020-08-24,0.93,0.75,0.46,0.23,0.09,0.01,0.00,inferred
Buckinghamshire,2020-08-25,0.93,0.75,0.46,0.23,0.09,0.01,0.00,inferred
Buckinghamshire,2020-08-26,0.93,0.75,0.46,0.23,0.09,0.01,0.00,inferred
Buckinghamshire,2020-08-27,0.93,0.75,0.46,0.23,0.09,0.01,0.00,inferred
Buckinghamshire,2020-08-28,0.93,0.75,0.46,0.23,0.09,0.01,0.00,inferred
Buckinghamshire,2020-08-29,0.89,0.66,0.37,0.17,0.07,0.00,0.00,inferred
Buckinghamshire,2020-08-30,0.89,0.66,0.37,0.17,0.07,0.00,0.00,inferred
Buckinghamshire,2020-08-31,0.89,0.66,0.37,0.17,0.07,0.00,0.00,inferred
Buckinghamshire,2020-09-01,0.89,0.66,0.37,0.17,0.07,0.00,0.00,inferred
Buckinghamshire,2020-09-02,0.89,0.66,0.37,0.17,0.07,0.00,0.00,inferred
Buckinghamshire,2020-09-03,0.89,0.66,0.37,0.17,0.07,0.00,0.00,inferred
Buckinghamshire,2020-09-04,0.89,0.66,0.37,0.17,0.07,0.00,0.00,inferred
Buckinghamshire,2020-09-05,0.98,0.87,0.62,0.32,0.15,0.01,0.00,inferred
Buckinghamshire,2020-09-06,0.98,0.87,0.62,0.32,0.15,0.01,0.00,inferred
Buckinghamshire,2020-09-07,0.98,0.87,0.62,0.32,0.15,0.01,0.00,inferred
Buckinghamshire,2020-09-08,0.98,0.87,0.62,0.32,0.15,0.01,0.00,inferred
