area,Date,C_025,C_25,C_50,C_75,C_975,provenance
Buckinghamshire,2020-08-11,5.0,5.0,5.0,5.0,5.0,inferred
Buckinghamshire,2020-08-12,5.6,5.6,5.6,5.6,5.6,inferred
Buckinghamshire,2020-08-13,6.1,6.1,6.1,6.1,6.1,inferred
Buckinghamshire,2020-08-14,6.2,6.2,6.3,6.4,6.4,inferred
Buckinghamshire,2020-08-15,6.1,6.2,6.4,6.8,6.8,inferred
Buckinghamshire,2020-08-16,6.0,6.1,6.5,7.2,7.2,inferred
Buckinghamshire,2020-08-17,6.0,6.1,6.8,7.3,7.4,inferred
Buckinghamshire,2020-08-18,6.1,6.5,7.2,7.2,7.4,inferred
Buckinghamshire,2020-08-19,6.3,6.7,6.7,7.3,7.8,inferred
Buckinghamshire,2020-08-20,5.7,6.2,6.8,7.3,8.6,inferred
Buckinghamshire,2020-08-21,4.8,5.6,7.0,7.4,9.3,inferred
Buckinghamshire,2020-08-22,4.6,5.3,7.1,7.4,9.7,inferred
Buckinghamshire,2020-08-23,5.0,5.5,7.3,7.7,9.9,inferred
Buckinghamshire,2020-08-24,5.8,5.9,7.6,8.2,9.8,inferred
Buckinghamshire,2020-08-25,6.8,6.9,8.0,8.9,10.1,inferred
Buckinghamshire,2020-08-26,8.0,8.1,8.6,9.5,11.1,inferred
Buckinghamshire,2020-08-27,8.5,9.6,9.7,9.9,11.9,inferred
Buckinghamshire,2020-08-28,9.0,9.8,10.3,11.0,12.2,inferred
Buckinghamshire,2020-08-29,9.3,9.7,10.5,11.8,12.4,inferred
Buckinghamshire,2020-08-30,9.1,9.7,10.7,11.8,12.4,inferred
Buckinghamshire,2020-08-31,8.8,9.6,10.7,11.3,12.1,inferred
Buckinghamshire,2020-09-01,8.9,9.5,10.1,10.6,11.4,inferred
Buckinghamshire,2020-09-02,9.1,9.6,9.8,10.1,11.5,inferred
Buckinghamshire,2020-09-03,9.1,9.4,9.5,9.8,11.3,inferred
Buckinghamshire,2020-09-04,9.2,9.3,9.4,9.9,10.9,inferred
Buckinghamshire,2020-09-05,9.2,9.4,9.6,10.0,10.5,inferred
Buckinghamshire,2020-09-06,9.1,9.6,9.7,10.0,10.3,inferred
Buckinghamshire,2020-09-07,9.0,9.4,9.6,10.0,10.4,inferred
Buckinghamshire,2020-09-08,8.8,9.2,9.6,9.8,10.5,inferred
Buckinghamshire,2020-09-09,8.8,9.2,9.8,10.0,10.8,inferred
Buckinghamshire,2020-09-10,8.8,9.3,10.2,10.5,11.4,inferred
Buckinghamshire,2020-09-11,8.5,9.4,10.4,11.0,11.6,inferred
Buckinghamshire,2020-09-12,8.5,9.2,10.7,11.7,11.9,inferred
Buckinghamshire,2020-09-13,8.3,9.4,10.7,12.6,13.0,inferred
Buckinghamshire,2020-09-14,8.1,9.4,11.1,13.5,14.1,inferred
Buckinghamshire,2020-09-15,8.6,9.6,11.7,14.1,14.9,inferred
Buckinghamshire,2020-09-16,9.0,10.1,12.6,14.5,15.3,inferred
Buckinghamshire,2020-09-17,9.3,10.8,13.7,14.8,15.4,inferred
Buckinghamshire,2020-09-18,9.3,11.3,14.1,15.1,15.2,inferred
Buckinghamshire,2020-09-19,9.3,11.7,13.8,14.9,15.9,inferred
Buckinghamshire,2020-09-20,9.7,12.4,13.9,15.1,16.4,inferred
Buckinghamshire,2020-09-21,10.4,13.2,14.3,15.2,16.5,inferred
Buckinghamshire,2020-09-22,10.7,14.2,14.7,15.8,17.1,inferred
Buckinghamshire,2020-09-23,11.6,14.0,15.3,15.8,18.2,inferred
Buckinghamshire,2020-09-24,12.9,14.8,15.6,17.6,19.3,inferred
Buckinghamshire,2020-09-25,14.4,16.1,16.3,18.9,20.0,inferred
Buckinghamshire,2020-09-26,15.4,17.2,17.9,20.2,21.0,inferred
Buckinghamshire,2020-09-27,16.9,19.5,19.7,20.4,22.8,inferred
Buckinghamshire,2020-09-28,18.9,20.8,21.6,24.2,24.8,inferred
Buckinghamshire,2020-09-29,21.4,22.6,24.0,26.4,28.4,inferred
Buckinghamshire,2020-09-30,24.1,25.0,26.1,28.1,32.2,inferred
Buckinghamshire,2020-10-01,26.7,26.9,28.7,29.8,35.9,inferred
Buckinghamshire,2020-10-02,28.1,29.7,31.4,31.8,39.6,inferred
Buckinghamshire,2020-10-03,29.6,32.5,33.4,34.9,43.4,inferred
Buckinghamshire,2020-10-04,32.1,34.8,35.9,38.4,47.3,inferred
Buckinghamshire,2020-10-05,35.0,37.4,39.5,41.6,51.8,inferred
Buckinghamshire,2020-10-06,36.6,39.8,42.6,46.0,57.3,inferred
Buckinghamshire,2020-10-07,39.8,43.9,45.9,48.6,63.5,inferred
Buckinghamshire,2020-10-08,44.7,46.7,50.3,52.6,69.8,inferred
Buckinghamshire,2020-10-09,49.1,52.0,54.1,55.9,75.2,inferred
Buckinghamshire,2020-10-10,51.7,55.5,56.5,59.1,78.2,inferred
Buckinghamshire,2020-10-11,54.1,57.3,58.9,62.7,78.4,inferred
Buckinghamshire,2020-10-12,56.4,57.6,60.5,64.6,78.0,inferred
Buckinghamshire,2020-10-13,57.3,58.4,62.3,68.3,77.9,inferred
Buckinghamshire,2020-10-14,57.7,60.6,63.7,71.1,77.3,inferred
Buckinghamshire,2020-10-15,58.9,62.7,65.6,74.9,78.2,inferred
Buckinghamshire,2020-10-16,60.7,64.6,66.7,76.2,82.1,inferred
Buckinghamshire,2020-10-17,63.0,66.4,68.9,75.8,84.8,inferred
Buckinghamshire,2020-10-18,64.7,68.4,71.9,77.0,86.5,inferred
Buckinghamshire,2020-10-19,68.7,70.9,73.9,80.7,87.9,inferred
Buckinghamshire,2020-10-20,69.0,76.4,78.5,82.2,89.5,inferred
Buckinghamshire,2020-10-21,70.4,78.8,82.5,84.7,91.6,inferred
Buckinghamshire,2020-10-22,73.6,83.4,86.6,90.2,94.0,inferred
Buckinghamshire,2020-10-23,76.3,84.7,89.8,93.6,95.8,inferred
Buckinghamshire,2020-10-24,79.0,87.1,92.0,96.6,98.9,inferred
Buckinghamshire,2020-10-25,82.4,90.4,93.6,97.0,101.3,inferred
Buckinghamshire,2020-10-26,87.6,93.7,95.5,99.1,101.8,inferred
Buckinghamshire,2020-10-27,93.3,95.7,98.4,100.3,104.5,inferred
Buckinghamshire,2020-10-28,92.9,98.4,101.0,103.9,107.7,inferred
Buckinghamshire,2020-10-29,92.9,99.0,104.0,107.0,117.4,inferred
Buckinghamshire,2020-10-30,93.3,101.5,107.7,109.0,128.9,inferred
Buckinghamshire,2020-10-31,93.7,102.8,108.4,112.9,135.9,inferred
Buckinghamshire,2020-11-01,93.8,103.9,110.9,114.6,135.1,inferred
Buckinghamshire,2020-11-02,93.7,103.9,112.0,115.0,129.6,inferred
Buckinghamshire,2020-11-03,93.5,103.3,112.8,117.4,124.1,inferred
Buckinghamshire,2020-11-04,94.0,103.2,114.5,117.8,127.8,inferred
Buckinghamshire,2020-11-05,95.1,104.0,112.7,122.2,133.3,inferred
Buckinghamshire,2020-11-06,95.9,105.4,112.0,126.2,138.0,inferred
Buckinghamshire,2020-11-07,96.5,106.2,111.8,126.4,138.3,inferred
Buckinghamshire,2020-11-08,97.9,106.1,110.9,123.1,134.6,inferred
Buckinghamshire,2020-11-09,100.0,105.7,110.8,119.2,130.0,inferred
Buckinghamshire,2020-11-10,102.5,103.2,110.4,117.1,127.1,inferred
Buckinghamshire,2020-11-11,101.5,104.7,110.2,116.0,125.7,inferred
Buckinghamshire,2020-11-12,100.4,106.5,108.0,115.4,124.0,inferred
Buckinghamshire,2020-11-13,98.9,101.9,109.4,113.3,121.6,inferred
Buckinghamshire,2020-11-14,98.3,100.4,109.9,113.0,122.6,inferred
Buckinghamshire,2020-11-15,97.0,98.6,108.2,113.8,120.1,inferred
Buckinghamshire,2020-11-16,95.7,97.7,107.0,111.9,114.7,inferred
Buckinghamshire,2020-11-17,92.4,98.4,105.1,107.2,112.9,inferred
Buckinghamshire,2020-11-18,89.4,97.3,101.8,103.2,111.9,inferred
Buckinghamshire,2020-11-19,86.8,95.8,98.9,103.4,110.6,inferred
Buckinghamshire,2020-11-20,84.4,93.8,98.6,102.2,109.8,inferred
Buckinghamshire,2020-11-21,82.5,92.8,99.4,101.5,109.3,inferred
Buckinghamshire,2020-11-22,81.3,95.3,101.7,107.6,112.0,inferred
Buckinghamshire,2020-11-23,80.8,93.3,103.7,112.3,125.0,inferred
Cherwell,2020-08-11,1.6,1.6,1.6,1.6,1.6,inferred
