area,Date,C_025,C_25,C_50,C_75,C_975,provenance
Buckinghamshire,2020-11-24,80.4,91.9,102.8,124.0,139.2,projected
Buckinghamshire,2020-11-25,80.1,92.0,104.3,134.7,152.8,projected
Buckinghamshire,2020-11-26,79.8,94.8,108.3,142.6,164.6,projected
Buckinghamshire,2020-11-27,78.7,91.8,112.2,148.5,174.2,projected
Buckinghamshire,2020-11-28,76.3,91.5,113.5,150.1,179.6,projected
Buckinghamshire,2020-11-29,73.0,91.1,112.3,145.6,180.4,projected
Buckinghamshire,2020-11-30,69.1,89.5,109.1,137.7,179.3,projected
Buckinghamshire,2020-12-01,64.2,87.1,106.5,132.0,178.3,projected
Buckinghamshire,2020-12-02,59.0,83.8,103.6,128.4,179.1,projected
Buckinghamshire,2020-12-03,54.3,80.2,100.8,125.2,183.2,projected
Buckinghamshire,2020-12-04,49.8,76.7,98.3,123.6,187.2,projected
Buckinghamshire,2020-12-05,46.6,73.7,96.1,122.6,194.0,projected
Buckinghamshire,2020-12-06,43.4,70.4,94.3,121.0,200.1,projected
Buckinghamshire,2020-12-07,40.7,68.4,92.0,120.4,207.0,projected
Buckinghamshire,2020-12-08,37.6,66.1,90.4,120.4,214.3,projected
Buckinghamshire,2020-12-09,34.9,63.5,88.5,119.9,224.0,projected
Buckinghamshire,2020-12-10,31.9,61.0,86.4,119.9,235.9,projected
Buckinghamshire,2020-12-11,29.2,58.7,84.8,119.6,248.3,projected
Buckinghamshire,2020-12-12,27.1,56.5,83.0,119.4,260.9,projected
Buckinghamshire,2020-12-13,25.4,54.5,82.1,119.6,272.1,projected
Buckinghamshire,2020-12-14,24.0,52.2,80.4,119.4,285.3,projected
Buckinghamshire,2020-12-15,22.2,50.3,79.4,118.9,305.2,projected
Buckinghamshire,2020-12-16,20.4,48.2,78.2,118.8,325.8,projected
Buckinghamshire,2020-12-17,18.6,46.2,77.0,119.5,345.5,projected
Buckinghamshire,2020-12-18,17.4,44.1,75.6,119.7,371.5,projected
Buckinghamshire,2020-12-19,16.2,42.5,74.5,120.7,392.8,projected
Buckinghamshire,2020-12-20,14.5,40.7,72.8,120.7,422.0,projected
Buckinghamshire,2020-12-21,13.3,39.4,71.5,122.1,441.0,projected
Cherwell,2020-11-24,12.3,16.6,21.3,22.8,25.8,projected
Cherwell,2020-11-25,11.5,17.5,20.4,22.3,26.3,projected
Cherwell,2020-11-26,10.8,18.0,19.2,22.0,26.9,projected
Cherwell,2020-11-27,10.2,18.0,18.4,21.6,26.5,projected
Cherwell,2020-11-28,9.4,17.2,18.7,21.0,25.8,projected
Cherwell,2020-11-29,8.8,16.5,18.6,21.1,25.8,projected
Cherwell,2020-11-30,8.4,15.5,18.2,20.9,26.8,projected
Cherwell,2020-12-01,8.2,14.6,17.5,20.7,27.9,projected
Cherwell,2020-12-02,8.1,13.6,17.0,20.6,29.6,projected
Cherwell,2020-12-03,7.7,12.9,16.5,20.4,31.1,projected
Cherwell,2020-12-04,7.1,12.3,16.0,20.4,32.0,projected
Cherwell,2020-12-05,6.6,11.9,15.6,20.3,32.8,projected
Cherwell,2020-12-06,6.3,11.4,15.4,20.2,33.9,projected
Cherwell,2020-12-07,6.0,11.0,15.0,20.1,35.5,projected
Cherwell,2020-12-08,5.7,10.6,14.8,20.0,37.7,projected
Cherwell,2020-12-09,5.3,10.2,14.4,19.8,39.0,projected
Cherwell,2020-12-10,5.1,9.8,14.1,20.0,41.7,projected
Cherwell,2020-12-11,4.8,9.4,13.9,20.0,42.8,projected
Cherwell,2020-12-12,4.5,9.2,13.7,20.1,45.2,projected
Cherwell,2020-12-13,4.3,8.9,13.4,20.1,47.1,projected
Cherwell,2020-12-14,4.0,8.6,13.2,20.1,48.1,projected
Cherwell,2020-12-15,3.9,8.3,13.0,20.3,49.3,projected
Cherwell,2020-12-16,3.7,8.0,12.9,20.3,50.5,projected
Cherwell,2020-12-17,3.4,7.8,12.6,20.4,54.6,projected
Cherwell,2020-12-18,3.3,7.5,12.4,20.6,57.4,projected
Cherwell,2020-12-19,3.2,7.4,12.2,20.6,60.6,projected
Cherwell,2020-12-20,3.0,7.1,12.0,20.7,63.2,projected
Cherwell,2020-12-21,2.8,6.9,12.0,20.7,67.2,projected
Dacorum,2020-11-24,18.6,19.5,20.6,24.4,32.7,projected
Dacorum,2020-11-25,17.4,18.7,20.4,25.1,33.8,projected
Dacorum,2020-11-26,16.1,17.9,19.4,26.1,34.4,projected
Dacorum,2020-11-27,15.3,16.9,18.5,26.9,33.5,projected
Dacorum,2020-11-28,14.3,15.7,17.6,28.8,33.0,projected
Dacorum,2020-11-29,12.8,15.1,17.6,28.7,34.2,projected
Dacorum,2020-11-30,11.4,14.6,18.1,27.8,36.5,projected
Dacorum,2020-12-01,10.2,14.5,18.9,27.0,38.7,projected
Dacorum,2020-12-02,9.3,14.2,19.1,26.5,41.1,projected
Dacorum,2020-12-03,8.7,14.0,19.0,26.4,43.9,projected
Dacorum,2020-12-04,8.0,13.7,18.7,26.4,46.2,projected
Dacorum,2020-12-05,7.5,13.4,18.6,26.5,48.1,projected
Dacorum,2020-12-06,7.1,13.2,18.3,26.4,50.1,projected
Dacorum,2020-12-07,6.9,12.8,18.0,26.4,52.8,projected
Dacorum,2020-12-08,6.4,12.4,17.7,26.4,55.2,projected
Dacorum,2020-12-09,6.1,12.1,17.5,26.4,58.0,projected
Dacorum,2020-12-10,5.7,11.6,17.3,26.4,61.8,projected
Dacorum,2020-12-11,5.4,11.4,17.0,26.4,65.7,projected
Dacorum,2020-12-12,5.1,11.0,16.9,26.5,69.1,projected
Dacorum,2020-12-13,4.9,10.8,16.7,26.7,72.9,projected
Dacorum,2020-12-14,4.7,10.5,16.5,27.2,77.6,projected
Dacorum,2020-12-15,4.4,10.2,16.3,27.5,81.7,projected
Dacorum,2020-12-16,4.2,10.0,16.1,27.8,88.1,projected
Dacorum,2020-12-17,4.0,9.7,15.9,28.4,94.4,projected
Dacorum,2020-12-18,3.8,9.4,15.8,28.6,100.6,projected
Dacorum,2020-12-19,3.6,9.1,15.6,28.7,107.5,projected
Dacorum,2020-12-20,3.4,8.8,15.6,28.9,112.9,projected
Dacorum,2020-12-21,3.4,8.6,15.5,28.9,120.4,projected
Milton Keynes,2020-11-24,49.4,58.5,65.3,68.6,78.0,projected
Milton Keynes,2020-11-25,49.4,57.5,64.8,69.8,76.8,projected
Milton Keynes,2020-11-26,50.1,57.6,63.2,68.5,75.3,projected
Milton Keynes,2020-11-27,52.0,59.4,61.6,67.5,76.0,projected
Milton Keynes,2020-11-28,53.6,58.9,61.9,67.2,77.2,projected
Milton Keynes,2020-11-29,51.9,57.9,62.3,68.4,79.5,projected
Milton Keynes,2020-11-30,48.3,56.5,61.8,68.4,84.7,projected
Milton Keynes,2020-12-01,43.9,54.2,60.8,69.1,91.3,projected
Milton Keynes,2020-12-02,39.8,51.9,59.7,69.7,98.1,projected
Milton Keynes,2020-12-03,35.6,49.4,58.7,70.3,104.4,projected
Milton Keynes,2020-12-04,32.4,47.5,57.9,71.0,110.5,projected
Milton Keynes,2020-12-05,29.6,45.9,57.3,71.9,117.1,projected
Milton Keynes,2020-12-06,28.0,44.4,56.5,72.4,122.9,projected
Milton Keynes,2020-12-07,26.6,43.2,56.0,72.9,131.2,projected
Milton Keynes,2020-12-08,25.1,41.8,55.5,73.2,138.6,projected
Milton Keynes,2020-12-09,23.4,40.5,54.9,73.7,147.0,projected
Milton Keynes,2020-12-10,21.6,39.1,53.8,74.5,158.2,projected
Milton Keynes,2020-12-11,19.8,37.8,53.4,75.3,168.5,projected
Milton Keynes,2020-12-12,18.2,36.4,52.8,75.8,180.6,projected
Milton Keynes,2020-12-13,17.3,35.1,52.5,77.3,192.8,projected
Milton Keynes,2020-12-14,16.1,34.4,51.9,78.3,200.3,projected
Milton Keynes,2020-12-15,14.9,33.4,51.1,79.5,213.2,projected
Milton Keynes,2020-12-16,13.6,32.3,50.9,81.2,225.2,projected
Milton Keynes,2020-12-17,12.8,31.0,50.4,82.5,239.6,projected
Milton Keynes,2020-12-18,11.7,30.1,50.1,83.9,252.7,projected
Milton Keynes,2020-12-19,10.9,28.9,49.8,85.2,271.6,projected
Milton Keynes,2020-12-20,10.1,27.8,49.9,86.3,286.7,projected
Milton Keynes,2020-12-21,9.3,27.1,49.4,87.4,304.7,projected
Oxford,2020-11-24,23.0,25.2,30.7,36.4,61.6,projected
Oxford,2020-11-25,22.4,25.0,30.2,34.4,65.7,projected
Oxford,2020-11-26,21.6,26.2,30.0,37.2,67.9,projected
Oxford,2020-11-27,19.4,29.0,30.7,39.8,69.6,projected
Oxford,2020-11-28,17.8,28.9,31.6,40.6,70.9,projected
Oxford,2020-11-29,16.6,27.6,31.8,39.3,71.5,projected
Oxford,2020-11-30,15.5,26.1,31.2,38.0,71.4,projected
Oxford,2020-12-01,14.3,24.4,29.9,37.3,71.0,projected
Oxford,2020-12-02,13.3,22.8,28.6,36.6,70.4,projected
Oxford,2020-12-03,12.4,21.4,27.5,36.3,70.5,projected
Oxford,2020-12-04,11.7,20.1,26.4,35.9,70.6,projected
Oxford,2020-12-05,10.8,19.1,25.6,35.6,71.0,projected
Oxford,2020-12-06,10.0,18.2,25.2,35.4,72.5,projected
Oxford,2020-12-07,9.5,17.6,24.7,35.3,72.7,projected
Oxford,2020-12-08,8.9,16.9,24.1,35.3,74.0,projected
Oxford,2020-12-09,8.2,16.1,23.7,35.2,75.8,projected
Oxford,2020-12-10,7.6,15.4,23.1,35.3,78.6,projected
Oxford,2020-12-11,7.1,14.8,22.6,35.1,82.8,projected
Oxford,2020-12-12,6.6,14.3,22.2,35.1,86.6,projected
Oxford,2020-12-13,6.3,13.8,21.8,35.2,86.2,projected
Oxford,2020-12-14,5.9,13.4,21.3,35.0,90.0,projected
Oxford,2020-12-15,5.6,12.8,20.7,34.9,95.6,projected
Oxford,2020-12-16,5.2,12.3,20.5,34.7,101.3,projected
Oxford,2020-12-17,4.9,12.1,20.0,34.9,108.4,projected
Oxford,2020-12-18,4.6,11.6,19.7,34.8,115.4,projected
Oxford,2020-12-19,4.4,11.1,19.4,34.7,121.8,projected
Oxford,2020-12-20,4.1,10.8,19.1,34.8,126.9,projected
Oxford,2020-12-21,3.9,10.4,19.0,35.0,127.3,projected
Reading,2020-11-24,21.7,26.5,28.7,34.8,43.7,projected
Reading,2020-11-25,20.7,25.2,28.9,32.5,46.0,projected
Reading,2020-11-26,18.9,23.8,29.4,30.2,48.8,projected
Reading,2020-11-27,16.6,22.9,28.0,30.7,51.4,projected
Reading,2020-11-28,14.3,22.3,26.5,30.9,53.3,projected
Reading,2020-11-29,12.8,21.6,25.8,30.9,54.2,projected
Reading,2020-11-30,11.9,20.7,25.4,30.3,54.6,projected
Reading,2020-12-01,11.6,19.8,24.6,30.1,55.0,projected
Reading,2020-12-02,11.1,19.0,24.0,30.0,56.1,projected
Reading,2020-12-03,10.5,18.2,23.4,30.0,56.7,projected
Reading,2020-12-04,10.1,17.6,23.0,30.2,57.4,projected
Reading,2020-12-05,9.7,16.9,22.6,30.1,58.5,projected
Reading,2020-12-06,9.0,16.3,22.1,30.2,60.5,projected
Reading,2020-12-07,8.6,15.8,21.6,30.0,61.1,projected
Reading,2020-12-08,8.1,15.4,21.1,29.9,63.5,projected
Reading,2020-12-09,7.7,14.9,20.8,30.2,67.5,projected
Reading,2020-12-10,7.1,14.2,20.4,30.1,69.0,projected
Reading,2020-12-11,6.6,13.6,20.0,30.0,70.3,projected
Reading,2020-12-12,6.2,13.0,19.8,30.0,73.5,projected
Reading,2020-12-13,5.9,12.6,19.6,30.2,75.7,projected
Reading,2020-12-14,5.6,12.2,19.3,30.2,79.9,projected
Reading,2020-12-15,5.3,11.9,18.9,30.4,83.0,projected
Reading,2020-12-16,5.0,11.5,18.5,30.4,85.7,projected
Reading,2020-12-17,4.8,10.9,18.1,30.8,90.2,projected
Reading,2020-12-18,4.3,10.6,17.8,31.1,95.8,projected
Reading,2020-12-19,4.2,10.3,17.5,31.5,99.3,projected
Reading,2020-12-20,3.9,10.1,17.4,31.6,105.6,projected
Reading,2020-12-21,3.8,9.9,17.2,31.9,108.5,projected
South Northamptonshire,2020-11-24,19.8,22.6,24.1,29.8,37.7,projected
South Northamptonshire,2020-11-25,18.0,21.5,23.0,31.7,37.5,projected
South Northamptonshire,2020-11-26,16.4,21.0,22.6,32.6,42.0,projected
South Northamptonshire,2020-11-27,15.4,19.9,23.8,32.5,45.3,projected
South Northamptonshire,2020-11-28,14.6,19.6,24.3,32.0,46.7,projected
South Northamptonshire,2020-11-29,13.9,19.1,24.2,31.5,47.0,projected
South Northamptonshire,2020-11-30,13.1,19.0,23.9,31.7,47.2,projected
South Northamptonshire,2020-12-01,12.4,18.7,23.6,31.4,47.4,projected
South Northamptonshire,2020-12-02,11.5,18.1,23.3,30.8,47.9,projected
South Northamptonshire,2020-12-03,10.7,17.5,22.9,30.6,49.9,projected
South Northamptonshire,2020-12-04,9.9,16.9,22.6,30.3,50.9,projected
South Northamptonshire,2020-12-05,9.1,16.5,22.2,30.1,52.2,projected
South Northamptonshire,2020-12-06,8.6,15.8,21.8,30.1,53.8,projected
South Northamptonshire,2020-12-07,8.1,15.2,21.4,30.0,55.5,projected
South Northamptonshire,2020-12-08,7.5,14.7,21.4,30.0,58.1,projected
South Northamptonshire,2020-12-09,7.0,14.1,20.9,29.9,60.2,projected
South Northamptonshire,2020-12-10,6.7,13.6,20.5,30.1,63.3,projected
South Northamptonshire,2020-12-11,6.4,13.2,20.2,30.2,66.6,projected
