area,Date,C_weekly,provenance
Buckinghamshire,2020-08-11, 43,inferred
Buckinghamshire,2020-08-12, 43,inferred
Buckinghamshire,2020-08-13, 43,inferred
Buckinghamshire,2020-08-14, 43,inferred
Buckinghamshire,2020-08-15, 43,inferred
Buckinghamshire,2020-08-16, 43,inferred
Buckinghamshire,2020-08-17, 43,inferred
Buckinghamshire,2020-08-18, 47,inferred
Buckinghamshire,2020-08-19, 47,inferred
Buckinghamshire,2020-08-20, 47,inferred
Buckinghamshire,2020-08-21, 47,inferred
Buckinghamshire,2020-08-22, 47,inferred
Buckinghamshire,2020-08-23, 47,inferred
Buckinghamshire,2020-08-24, 47,inferred
Buckinghamshire,2020-08-25, 85,inferred
Buckinghamshire,2020-08-26, 85,inferred
Buckinghamshire,2020-08-27, 85,inferred
Buckinghamshire,2020-08-28, 85,inferred
Buckinghamshire,2020-08-29, 85,inferred
Buckinghamshire,2020-08-30, 85,inferred
Buckinghamshire,2020-08-31, 85,inferred
Buckinghamshire,2020-09-01, 70,inferred
Buckinghamshire,2020-09-02, 70,inferred
Buckinghamshire,2020-09-03, 70,inferred
Buckinghamshire,2020-09-04, 70,inferred
Buckinghamshire,2020-09-05, 70,inferred
Buckinghamshire,2020-09-06, 70,inferred
Buckinghamshire,2020-09-07, 70,inferred
Buckinghamshire,2020-09-08, 63,inferred
Buckinghamshire,2020-09-09, 63,inferred
Buckinghamshire,2020-09-10, 63,inferred
Buckinghamshire,2020-09-11, 63,inferred
Buckinghamshire,2020-09-12, 63,inferred
Buckinghamshire,2020-09-13, 63,inferred
Buckinghamshire,2020-09-14, 63,inferred
Buckinghamshire,2020-09-15, 90,inferred
Buckinghamshire,2020-09-16, 90,inferred
Buckinghamshire,2020-09-17, 90,inferred
Buckinghamshire,2020-09-18, 90,inferred
Buckinghamshire,2020-09-19, 90,inferred
Buckinghamshire,2020-09-20, 90,inferred
Buckinghamshire,2020-09-21, 90,inferred
Buckinghamshire,2020-09-22,108,inferred
Buckinghamshire,2020-09-23,108,inferred
Buckinghamshire,2020-09-24,108,inferred
Buckinghamshire,2020-09-25,108,inferred
Buckinghamshire,2020-09-26,108,inferred
Buckinghamshire,2020-09-27,108,inferred
Buckinghamshire,2020-09-28,108,inferred
Buckinghamshire,2020-09-29,226,inferred
Buckinghamshire,2020-09-30,226,inferred
Buckinghamshire,2020-10-01,226,inferred
Buckinghamshire,2020-10-02,226,inferred
Buckinghamshire,2020-10-03,226,inferred
Buckinghamshire,2020-10-04,226,inferred
Buckinghamshire,2020-10-05,226,inferred
Buckinghamshire,2020-10-06,381,inferred
Buckinghamshire,2020-10-07,381,inferred
Buckinghamshire,2020-10-08,381,inferred
Buckinghamshire,2020-10-09,381,inferred
Buckinghamshire,2020-10-10,381,inferred
Buckinghamshire,2020-10-11,381,inferred
Buckinghamshire,2020-10-12,381,inferred
Buckinghamshire,2020-10-13,482,inferred
Buckinghamshire,2020-10-14,482,inferred
Buckinghamshire,2020-10-15,482,inferred
Buckinghamshire,2020-10-16,482,inferred
Buckinghamshire,2020-10-17,482,inferred
Buckinghamshire,2020-10-18,482,inferred
