area,Date,Rt_2_5,Rt_10,Rt_20,Rt_25,Rt_30,Rt_40,Rt_50,Rt_60,Rt_70,Rt_75,Rt_80,Rt_90,Rt_97_5,provenance
Buckinghamshire,2020-08-11,0.69,0.77,0.83,0.85,0.87,0.91,0.95,0.99,1.02,1.05,1.08,1.15,1.29,inferred
Buckinghamshire,2020-08-12,0.69,0.77,0.83,0.85,0.87,0.91,0.95,0.99,1.02,1.05,1.08,1.15,1.29,inferred
Buckinghamshire,2020-08-13,0.69,0.77,0.83,0.85,0.87,0.91,0.95,0.99,1.02,1.05,1.08,1.15,1.29,inferred
Buckinghamshire,2020-08-14,0.69,0.77,0.83,0.85,0.87,0.91,0.95,0.99,1.02,1.05,1.08,1.15,1.29,inferred
Buckinghamshire,2020-08-15,0.69,0.77,0.83,0.85,0.87,0.91,0.95,0.99,1.02,1.05,1.08,1.15,1.29,inferred
Buckinghamshire,2020-08-16,0.69,0.77,0.83,0.85,0.87,0.91,0.95,0.99,1.02,1.05,1.08,1.15,1.29,inferred
Buckinghamshire,2020-08-17,0.69,0.77,0.83,0.85,0.87,0.91,0.95,0.99,1.02,1.05,1.08,1.15,1.29,inferred
Buckinghamshire,2020-08-18,0.66,0.75,0.82,0.85,0.87,0.92,0.97,1.02,1.08,1.12,1.16,1.29,1.53,inferred
Buckinghamshire,2020-08-19,0.66,0.75,0.82,0.85,0.87,0.92,0.97,1.02,1.08,1.12,1.16,1.29,1.53,inferred
Buckinghamshire,2020-08-20,0.66,0.75,0.82,0.85,0.87,0.92,0.97,1.02,1.08,1.12,1.16,1.29,1.53,inferred
Buckinghamshire,2020-08-21,0.66,0.75,0.82,0.85,0.87,0.92,0.97,1.02,1.08,1.12,1.16,1.29,1.53,inferred
Buckinghamshire,2020-08-22,0.66,0.75,0.82,0.85,0.87,0.92,0.97,1.02,1.08,1.12,1.16,1.29,1.53,inferred
Buckinghamshire,2020-08-23,0.66,0.75,0.82,0.85,0.87,0.92,0.97,1.02,1.08,1.12,1.16,1.29,1.53,inferred
Buckinghamshire,2020-08-24,0.66,0.75,0.82,0.85,0.87,0.92,0.97,1.02,1.08,1.12,1.16,1.29,1.53,inferred
Buckinghamshire,2020-08-25,0.65,0.73,0.78,0.80,0.82,0.86,0.89,0.93,0.97,0.99,1.02,1.09,1.21,inferred
Buckinghamshire,2020-08-26,0.65,0.73,0.78,0.80,0.82,0.86,0.89,0.93,0.97,0.99,1.02,1.09,1.21,inferred
Buckinghamshire,2020-08-27,0.65,0.73,0.78,0.80,0.82,0.86,0.89,0.93,0.97,0.99,1.02,1.09,1.21,inferred
Buckinghamshire,2020-08-28,0.65,0.73,0.78,0.80,0.82,0.86,0.89,0.93,0.97,0.99,1.02,1.09,1.21,inferred
Buckinghamshire,2020-08-29,0.65,0.73,0.78,0.80,0.82,0.86,0.89,0.93,0.97,0.99,1.02,1.09,1.21,inferred
Buckinghamshire,2020-08-30,0.65,0.73,0.78,0.80,0.82,0.86,0.89,0.93,0.97,0.99,1.02,1.09,1.21,inferred
Buckinghamshire,2020-08-31,0.65,0.73,0.78,0.80,0.82,0.86,0.89,0.93,0.97,0.99,1.02,1.09,1.21,inferred
Buckinghamshire,2020-09-01,0.65,0.73,0.79,0.81,0.83,0.86,0.89,0.93,0.96,0.99,1.01,1.08,1.19,inferred
Buckinghamshire,2020-09-02,0.65,0.73,0.79,0.81,0.83,0.86,0.89,0.93,0.96,0.99,1.01,1.08,1.19,inferred
Buckinghamshire,2020-09-03,0.65,0.73,0.79,0.81,0.83,0.86,0.89,0.93,0.96,0.99,1.01,1.08,1.19,inferred
Buckinghamshire,2020-09-04,0.65,0.73,0.79,0.81,0.83,0.86,0.89,0.93,0.96,0.99,1.01,1.08,1.19,inferred
Buckinghamshire,2020-09-05,0.65,0.73,0.79,0.81,0.83,0.86,0.89,0.93,0.96,0.99,1.01,1.08,1.19,inferred
Buckinghamshire,2020-09-06,0.65,0.73,0.79,0.81,0.83,0.86,0.89,0.93,0.96,0.99,1.01,1.08,1.19,inferred
Buckinghamshire,2020-09-07,0.65,0.73,0.79,0.81,0.83,0.86,0.89,0.93,0.96,0.99,1.01,1.08,1.19,inferred
Buckinghamshire,2020-09-08,0.84,0.92,0.98,1.00,1.02,1.06,1.10,1.13,1.18,1.20,1.23,1.31,1.46,inferred
Buckinghamshire,2020-09-09,0.84,0.92,0.98,1.00,1.02,1.06,1.10,1.13,1.18,1.20,1.23,1.31,1.46,inferred
Buckinghamshire,2020-09-10,0.84,0.92,0.98,1.00,1.02,1.06,1.10,1.13,1.18,1.20,1.23,1.31,1.46,inferred
Buckinghamshire,2020-09-11,0.84,0.92,0.98,1.00,1.02,1.06,1.10,1.13,1.18,1.20,1.23,1.31,1.46,inferred
Buckinghamshire,2020-09-12,0.84,0.92,0.98,1.00,1.02,1.06,1.10,1.13,1.18,1.20,1.23,1.31,1.46,inferred
Buckinghamshire,2020-09-13,0.84,0.92,0.98,1.00,1.02,1.06,1.10,1.13,1.18,1.20,1.23,1.31,1.46,inferred
Buckinghamshire,2020-09-14,0.84,0.92,0.98,1.00,1.02,1.06,1.10,1.13,1.18,1.20,1.23,1.31,1.46,inferred
Buckinghamshire,2020-09-15,1.02,1.13,1.20,1.22,1.24,1.28,1.32,1.37,1.41,1.44,1.47,1.55,1.70,inferred
Buckinghamshire,2020-09-16,1.02,1.13,1.20,1.22,1.24,1.28,1.32,1.37,1.41,1.44,1.47,1.55,1.70,inferred
Buckinghamshire,2020-09-17,1.02,1.13,1.20,1.22,1.24,1.28,1.32,1.37,1.41,1.44,1.47,1.55,1.70,inferred
