area,Date,C_025,C_05,C_25,C_50,C_75,C_95,C_975,provenance
"North East and Yorkshire",2021-01-22,2764.5,2794.0,2886.0,2947.0,3010.0,3109.0,3138.0,inferred
"North East and Yorkshire",2021-01-23,2243.0,2277.9,2377.0,2437.5,2496.2,2573.0,2597.5,inferred
"North East and Yorkshire",2021-01-24,2254.9,2298.0,2449.8,2518.0,2577.0,2658.0,2683.5,inferred
"North East and Yorkshire",2021-01-25,3096.0,3163.9,3412.0,3489.0,3570.0,3667.0,3712.5,inferred
"North East and Yorkshire",2021-01-26,2725.0,2778.0,2978.0,3057.0,3132.0,3222.0,3258.5,inferred
"North East and Yorkshire",2021-01-27,2827.9,2879.0,3035.8,3116.5,3184.0,3277.0,3307.0,inferred
"North East and Yorkshire",2021-01-28,2661.5,2698.0,2792.8,2859.0,2923.0,3015.0,3046.5,inferred
"North East and Yorkshire",2021-01-29,2364.0,2393.9,2483.0,2540.0,2593.0,2669.0,2701.0,inferred
"North East and Yorkshire",2021-01-30,1920.5,1943.0,2012.0,2062.0,2112.0,2187.1,2213.0,inferred
"North East and Yorkshire",2021-01-31,1939.0,1966.0,2037.0,2087.0,2138.0,2208.1,2230.0,inferred
"North East and Yorkshire",2021-02-01,2702.5,2731.0,2814.0,2875.0,2928.0,3018.1,3044.1,inferred
"North East and Yorkshire",2021-02-02,2369.5,2387.9,2466.0,2521.0,2580.0,2664.0,2692.0,inferred
"North East and Yorkshire",2021-02-03,2435.5,2455.0,2531.0,2583.0,2644.0,2721.0,2745.5,inferred
"North East and Yorkshire",2021-02-04,2241.0,2268.0,2344.8,2394.5,2455.0,2531.1,2557.5,inferred
"North East and Yorkshire",2021-02-05,1997.5,2023.0,2093.0,2141.0,2191.0,2261.0,2286.5,inferred
"North East and Yorkshire",2021-02-06,1623.5,1639.9,1700.0,1746.0,1789.0,1852.0,1875.0,inferred
"North East and Yorkshire",2021-02-07,1645.5,1665.0,1733.0,1782.0,1831.0,1902.1,1926.0,inferred
