area,Date,C_025,C_05,C_25,C_50,C_75,C_95,C_975,provenance
"North East and Yorkshire",2021-06-18, 1402.5, 1446.0, 1696.0, 1838.5, 2046.8, 2647.1, 2699.0,inferred
"North East and Yorkshire",2021-06-19, 1213.4, 1245.9, 1565.8, 1711.0, 1868.0, 2379.1, 2435.5,inferred
"North East and Yorkshire",2021-06-20, 1354.0, 1393.0, 1820.8, 1969.0, 2130.0, 2721.0, 2788.5,inferred
"North East and Yorkshire",2021-06-21, 2125.5, 2186.9, 2791.0, 2979.0, 3154.0, 4054.1, 4130.6,inferred
"North East and Yorkshire",2021-06-22, 2331.0, 2387.9, 2919.0, 3088.0, 3223.0, 3960.1, 4053.1,inferred
"North East and Yorkshire",2021-06-23, 2652.9, 2715.0, 3206.0, 3344.5, 3468.0, 4029.2, 4113.5,inferred
"North East and Yorkshire",2021-06-24, 2932.5, 2997.9, 3345.8, 3463.0, 3571.0, 3921.1, 3992.0,inferred
"North East and Yorkshire",2021-06-25, 3075.3, 3157.0, 3336.0, 3421.0, 3507.0, 3660.2, 3714.6,inferred
"North East and Yorkshire",2021-06-26, 2877.5, 2912.9, 3013.0, 3076.0, 3142.0, 3242.0, 3282.0,inferred
"North East and Yorkshire",2021-06-27, 3208.0, 3250.0, 3388.0, 3477.0, 3568.0, 3689.0, 3724.0,inferred
"North East and Yorkshire",2021-06-28, 4798.5, 4874.0, 5067.0, 5177.0, 5295.2, 5476.1, 5528.1,inferred
"North East and Yorkshire",2021-06-29, 4932.0, 4972.0, 5138.8, 5258.5, 5368.0, 5541.0, 5613.0,inferred
"North East and Yorkshire",2021-06-30, 5299.0, 5341.0, 5486.0, 5592.5, 5685.0, 5843.0, 5901.0,inferred
"North East and Yorkshire",2021-07-01, 5394.5, 5435.0, 5579.0, 5671.0, 5763.0, 5893.0, 5938.0,inferred
"North East and Yorkshire",2021-07-02, 5224.5, 5267.0, 5400.0, 5485.0, 5575.0, 5718.0, 5759.0,inferred
"North East and Yorkshire",2021-07-03, 4588.0, 4630.0, 4747.8, 4831.5, 4912.2, 5055.0, 5104.6,inferred
"North East and Yorkshire",2021-07-04, 5040.0, 5092.0, 5231.0, 5327.5, 5423.0, 5574.0, 5634.5,inferred
"North East and Yorkshire",2021-07-05, 7414.5, 7469.0, 7653.0, 7777.5, 7895.2, 8077.1, 8145.6,inferred
"North East and Yorkshire",2021-07-06, 7403.4, 7471.0, 7632.0, 7741.5, 7857.2, 8030.0, 8083.5,inferred
