area,Date,C_025,C_05,C_25,C_50,C_75,C_95,C_975,provenance
"North East and Yorkshire",2021-12-17,   6828.0,   6886.0,   7097.0,   7248.5,   7403.0,   7623.2,   7678.0,projected
"North East and Yorkshire",2021-12-18,   6222.9,   6295.0,   6554.0,   6770.5,   6965.0,   7250.0,   7318.0,projected
"North East and Yorkshire",2021-12-19,   7458.0,   7558.7,   8012.8,   8384.5,   8720.0,   9119.0,   9284.7,projected
"North East and Yorkshire",2021-12-20,  10767.4,  10933.9,  11837.8,  12577.0,  13247.5,  14046.1,  14322.8,projected
"North East and Yorkshire",2021-12-21,  10124.0,  10302.3,  11439.5,  12393.5,  13267.0,  14328.5,  14619.1,projected
"North East and Yorkshire",2021-12-22,  10529.8,  10794.9,  12207.8,  13525.0,  14745.8,  16272.4,  16749.3,projected
"North East and Yorkshire",2021-12-23,  10164.6,  10491.9,  12130.2,  13714.5,  15216.8,  17266.4,  17808.5,projected
"North East and Yorkshire",2021-12-24,   9908.9,  10260.9,  12096.0,  13919.0,  15793.8,  18399.6,  19333.6,projected
"North East and Yorkshire",2021-12-25,   8929.5,   9318.5,  11197.2,  13152.5,  15205.2,  18193.0,  19440.2,projected
"North East and Yorkshire",2021-12-26,  10722.0,  11217.5,  13709.5,  16529.5,  19325.0,  23920.6,  25937.7,projected
"North East and Yorkshire",2021-12-27,  15532.6,  16182.9,  20329.5,  24957.0,  29930.2,  38096.6,  41963.6,projected
"North East and Yorkshire",2021-12-28,  14554.3,  15302.9,  19728.2,  24788.0,  30363.2,  39926.5,  44043.1,projected
"North East and Yorkshire",2021-12-29,  15372.0,  16166.9,  21453.0,  27430.0,  34314.5,  46945.1,  52787.9,projected
"North East and Yorkshire",2021-12-30,  14976.9,  15823.4,  21373.2,  28201.0,  35729.8,  51248.8,  57364.6,projected
"North East and Yorkshire",2021-12-31,  14621.8,  15479.9,  21368.8,  28898.5,  37473.0,  55891.3,  63985.4,projected
"North East and Yorkshire",2022-01-01,  13171.7,  14069.7,  19959.0,  27668.5,  36548.0,  56944.6,  66658.3,projected
