area,Date,C_025,C_05,C_25,C_50,C_75,C_95,C_975,provenance
"North East and Yorkshire",2021-04-03, 523.0, 542.0, 594.0, 635.0, 675.0, 741.0, 763.0,projected
"North East and Yorkshire",2021-04-04, 517.0, 536.9, 592.0, 636.0, 680.0, 746.0, 769.0,projected
"North East and Yorkshire",2021-04-05, 726.5, 747.0, 819.8, 870.0, 928.0,1013.0,1042.0,projected
"North East and Yorkshire",2021-04-06, 643.5, 664.9, 737.0, 795.5, 848.0, 926.1, 962.6,projected
"North East and Yorkshire",2021-04-07, 603.0, 627.9, 697.0, 754.0, 810.0, 892.0, 921.5,projected
"North East and Yorkshire",2021-04-08, 503.0, 526.0, 594.8, 644.0, 692.0, 775.0, 800.0,projected
"North East and Yorkshire",2021-04-09, 397.0, 414.0, 481.0, 527.0, 578.0, 653.0, 673.0,projected
"North East and Yorkshire",2021-04-10, 388.5, 410.0, 474.0, 524.5, 575.0, 653.0, 687.0,projected
"North East and Yorkshire",2021-04-11, 394.5, 415.0, 481.0, 533.0, 592.0, 673.0, 698.1,projected
"North East and Yorkshire",2021-04-12, 539.5, 568.0, 666.0, 736.5, 816.0, 931.0, 972.0,projected
"North East and Yorkshire",2021-04-13, 486.5, 519.0, 610.0, 678.0, 751.2, 862.0, 922.5,projected
"North East and Yorkshire",2021-04-14, 462.5, 493.0, 582.8, 648.5, 724.0, 846.0, 891.5,projected
"North East and Yorkshire",2021-04-15, 387.0, 412.0, 494.0, 556.0, 625.2, 750.0, 793.0,projected
"North East and Yorkshire",2021-04-16, 304.0, 325.0, 405.0, 464.0, 526.0, 637.0, 677.5,projected
"North East and Yorkshire",2021-04-17, 310.0, 330.0, 403.8, 462.0, 531.2, 648.0, 690.5,projected
"North East and Yorkshire",2021-04-18, 305.5, 331.0, 412.0, 476.0, 548.0, 676.0, 746.0,projected
"North East and Yorkshire",2021-04-19, 423.0, 457.0, 577.0, 661.5, 766.0, 954.1,1041.5,projected
"North East and Yorkshire",2021-04-20, 382.0, 412.0, 524.8, 612.5, 724.0, 908.0, 964.0,projected
"North East and Yorkshire",2021-04-21, 363.0, 394.0, 508.0, 598.0, 698.0, 893.0, 963.2,projected
"North East and Yorkshire",2021-04-22, 305.0, 333.0, 435.0, 517.0, 618.2, 810.0, 861.6,projected
"North East and Yorkshire",2021-04-23, 251.0, 274.0, 357.0, 431.0, 520.2, 693.0, 756.6,projected
"North West",2021-04-03, 270.0, 281.0, 320.0, 346.5, 380.0, 424.0, 437.0,projected
"North West",2021-04-04, 270.0, 280.0, 320.0, 347.0, 378.0, 422.0, 439.5,projected
"North West",2021-04-05, 359.5, 374.0, 426.0, 462.0, 499.0, 551.0, 573.0,projected
"North West",2021-04-06, 332.0, 347.0, 392.8, 428.0, 467.0, 522.0, 543.0,projected
"North West",2021-04-07, 294.5, 305.0, 347.0, 383.0, 421.0, 475.0, 495.5,projected
"North West",2021-04-08, 254.0, 266.0, 310.0, 344.0, 380.2, 439.0, 458.5,projected
"North West",2021-04-09, 192.5, 203.9, 239.0, 269.0, 299.0, 348.0, 362.5,projected
"North West",2021-04-10, 190.0, 202.0, 239.0, 272.0, 305.0, 358.0, 378.0,projected
"North West",2021-04-11, 188.5, 199.0, 239.0, 270.0, 307.0, 369.0, 388.5,projected
"North West",2021-04-12, 250.0, 267.0, 318.0, 360.0, 409.0, 481.0, 510.5,projected
"North West",2021-04-13, 228.5, 247.0, 299.0, 342.0, 389.0, 463.0, 490.6,projected
"North West",2021-04-14, 204.0, 219.9, 268.0, 310.0, 351.2, 429.0, 461.5,projected
"North West",2021-04-15, 173.0, 189.0, 239.0, 278.0, 322.0, 400.0, 426.0,projected
"North West",2021-04-16, 132.0, 142.0, 185.0, 217.0, 254.2, 318.0, 346.0,projected
"North West",2021-04-17, 130.0, 146.0, 186.8, 224.0, 263.0, 329.0, 358.5,projected
"North West",2021-04-18, 133.0, 142.0, 186.0, 224.0, 269.0, 351.0, 377.0,projected
"North West",2021-04-19, 176.5, 195.0, 249.8, 302.0, 361.0, 463.0, 512.7,projected
"North West",2021-04-20, 161.5, 178.0, 236.0, 283.0, 339.2, 456.0, 509.0,projected
"North West",2021-04-21, 143.0, 156.0, 211.0, 260.0, 317.0, 419.1, 461.0,projected
"North West",2021-04-22, 126.0, 142.0, 191.0, 236.0, 289.0, 401.1, 444.0,projected
"North West",2021-04-23,  93.0, 106.0, 151.0, 186.0, 233.0, 321.0, 358.5,projected
