,CODE,AREA,POPULATION,DENSITY,SQUARE_KM_AREA,LAT,LONG
0,E06000047,County Durham,530094.0,238.0,2226.0,54.685131,-1.8405
1,E06000005,Darlington,106803.0,541.0,197.0,54.535339,-1.56835
2,E06000001,Hartlepool,93663.0,999.0,94.0,54.67614,-1.27018
3,E06000002,Middlesbrough,140980.0,2616.0,54.0,54.54467,-1.21099
4,E06000057,Northumberland,322434.0,64.0,5018.0,55.300369,-2.07523
5,E06000003,Redcar and Cleveland,137150.0,560.0,245.0,54.56752,-1.00608
6,E06000004,Stockton-on-Tees,197348.0,963.0,205.0,54.556911,-1.30664
7,E08000037,Gateshead,202055.0,1419.0,142.0,54.931198,-1.6868
8,E08000021,Newcastle upon Tyne,302820.0,2669.0,113.0,55.021011,-1.65297
9,E08000022,North Tyneside,207913.0,2526.0,82.0,55.028961,-1.50923
10,E08000023,South Tyneside,150976.0,2343.0,64.0,54.969879,-1.44679
11,E08000024,Sunderland,277705.0,2021.0,137.0,54.857189,-1.43344
12,E06000008,Blackburn with Darwen,149696.0,1092.0,137.0,53.700802,-2.4636
13,E06000009,Blackpool,139446.0,3999.0,35.0,53.82164,-3.02199
14,E06000049,Cheshire East,384152.0,329.0,1166.0,53.167931,-2.29299
15,E06000050,Cheshire West and Chester,343071.0,373.0,920.0,53.163361,-2.70298
16,E06000006,Halton,129410.0,1636.0,79.0,53.33424,-2.68853
17,E06000007,Warrington,210014.0,1163.0,181.0,53.391628,-2.56167
18,E10000006,Cumbria,500012.0,74.0,6768.0,54.636379,-2.90213
19,E08000001,Bolton,287550.0,2057.0,140.0,53.584492,-2.47952
20,E08000002,Bury,190990.0,1920.0,99.0,53.593102,-2.3088
21,E08000003,Manchester,552858.0,4781.0,116.0,53.470089,-2.23359
22,E08000004,Oldham,237110.0,1666.0,142.0,53.557678,-2.05274
23,E08000005,Rochdale,222412.0,1407.0,158.0,53.60741,-2.14784
24,E08000006,Salford,258834.0,2663.0,97.0,53.479271,-2.38485
25,E08000007,Stockport,293423.0,2328.0,126.0,53.391159,-2.12467
26,E08000008,Tameside,226493.0,2196.0,103.0,53.478668,-2.077
27,E08000009,Trafford,237354.0,2238.0,106.0,53.41671,-2.36572
28,E08000010,Wigan,328662.0,1747.0,188.0,53.51445,-2.57247
29,E10000017,Lancashire,1219799.0,422.0,2894.0,53.86216,-2.46091
30,E08000011,Knowsley,150862.0,1744.0,87.0,53.437881,-2.83297
31,E08000012,Liverpool,498042.0,4453.0,112.0,53.408298,-2.91364
32,E08000014,Sefton,276410.0,1765.0,157.0,53.482101,-2.99177
33,E08000013,St. Helens,180585.0,1324.0,136.0,53.458618,-2.7031
34,E08000015,Wirral,324011.0,2013.0,161.0,53.374779,-3.06701
35,E06000011,East Riding of Yorkshire,341173.0,142.0,2404.0,53.881119,-0.66195
36,E06000010,"Kingston upon Hull, City of",259778.0,3629.0,72.0,53.769199,-0.30382
37,E06000012,North East Lincolnshire,159563.0,828.0,193.0,53.52327,-0.13911
38,E06000013,North Lincolnshire,172292.0,204.0,846.0,53.58643,-0.52407
39,E06000014,York,210618.0,775.0,272.0,53.96582,-1.07375
40,E10000023,North Yorkshire,618054.0,77.0,8037.0,54.093712,-1.55032
41,E08000016,Barnsley,246866.0,750.0,329.0,53.525768,-1.54925
42,E08000017,Doncaster,311890.0,549.0,568.0,53.52697,-1.10894
43,E08000018,Rotherham,265411.0,926.0,287.0,53.395531,-1.28651
44,E08000019,Sheffield,584853.0,1590.0,368.0,53.40358,-1.54254
45,E08000032,Bradford,539776.0,1473.0,366.0,53.843819,-1.87389
46,E08000033,Calderdale,211455.0,581.0,364.0,53.720482,-1.96182
47,E08000034,Kirklees,439787.0,1076.0,409.0,53.64233,-1.78085
48,E08000035,Leeds,793139.0,1438.0,552.0,53.822731,-1.50736
49,E08000036,Wakefield,348312.0,1029.0,339.0,53.659222,-1.42092
50,E06000015,Derby,257302.0,3297.0,78.0,52.914639,-1.47189
51,E06000016,Leicester,354224.0,4830.0,73.0,52.635921,-1.1304
52,E06000018,Nottingham,332900.0,4462.0,75.0,52.954189,-1.16667
53,E06000017,Rutland,39927.0,105.0,382.0,52.667648,-0.6263
54,E10000007,Derbyshire,802694.0,315.0,2547.0,53.078579,-1.6021
55,E10000018,Leicestershire,706155.0,339.0,2083.0,52.68779,-1.3779
56,E10000019,Lincolnshire,761224.0,128.0,5939.0,53.111019,-0.23884
57,E10000021,Northamptonshire,753278.0,319.0,2364.0,52.31105,-0.86668
58,E10000024,Nottinghamshire,828224.0,397.0,2085.0,53.128502,-1.00656
59,E06000019,"Herefordshire, County of",192801.0,88.0,2180.0,52.081539,-2.73931
60,E06000051,Shropshire,323136.0,101.0,3197.0,52.62212,-2.73667
61,E06000021,Stoke-on-Trent,256375.0,2743.0,93.0,53.017071,-2.15888
62,E06000020,Telford and Wrekin,179854.0,620.0,290.0,52.714169,-2.48941
63,E10000028,Staffordshire,879560.0,336.0,2620.0,52.909302,-2.02756
64,E10000031,Warwickshire,577933.0,293.0,1975.0,52.179771,-1.56874
65,E08000025,Birmingham,1141816.0,4264.0,268.0,52.484039,-1.88141
66,E08000026,Coventry,371521.0,3766.0,99.0,52.41423,-1.51908
67,E08000027,Dudley,321596.0,3283.0,98.0,52.495129,-2.10171
68,E08000028,Sandwell,328450.0,3839.0,86.0,52.514771,-2.00771
69,E08000029,Solihull,216374.0,1214.0,178.0,52.431,-1.71558
70,E08000030,Walsall,285478.0,2746.0,104.0,52.60503,-1.97044
71,E08000031,Wolverhampton,263357.0,3793.0,69.0,52.597881,-2.12746
72,E10000034,Worcestershire,595786.0,342.0,1741.0,52.212872,-2.20935
