,area,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
62074,Aberdeen City,2020-02-15,-3.0,-4.0,-32.0,-4.0,-1.0,2.0
62075,Aberdeen City,2020-02-16,6.0,0.0,-13.0,4.0,2.0,-1.0
62076,Aberdeen City,2020-02-17,11.0,0.0,24.0,2.0,-10.0,1.0
62077,Aberdeen City,2020-02-18,5.0,0.0,26.0,1.0,-6.0,1.0
62078,Aberdeen City,2020-02-19,2.0,-2.0,9.0,4.0,-6.0,2.0
62079,Aberdeen City,2020-02-20,-1.0,3.0,-1.0,-1.0,1.0,0.0
62080,Aberdeen City,2020-02-21,0.0,-1.0,-10.0,-3.0,-1.0,1.0
62081,Aberdeen City,2020-02-22,0.0,1.0,0.0,3.0,3.0,1.0
62082,Aberdeen City,2020-02-23,3.0,0.0,4.0,18.0,4.0,-1.0
62083,Aberdeen City,2020-02-24,-4.0,-7.0,-33.0,1.0,0.0,2.0
62084,Aberdeen City,2020-02-25,0.0,6.0,12.0,6.0,2.0,0.0
62085,Aberdeen City,2020-02-26,2.0,0.0,-8.0,6.0,1.0,1.0
62086,Aberdeen City,2020-02-27,1.0,2.0,-1.0,5.0,3.0,0.0
62087,Aberdeen City,2020-02-28,3.0,0.0,-18.0,7.0,1.0,0.0
62088,Aberdeen City,2020-02-29,7.0,4.0,2.0,9.0,3.0,-1.0
62089,Aberdeen City,2020-03-01,7.0,3.0,-15.0,16.0,2.0,-1.0
62090,Aberdeen City,2020-03-02,5.0,3.0,17.0,8.0,2.0,0.0
62091,Aberdeen City,2020-03-03,1.0,4.0,14.0,4.0,1.0,0.0
62092,Aberdeen City,2020-03-04,5.0,6.0,10.0,1.0,1.0,0.0
62093,Aberdeen City,2020-03-05,-1.0,5.0,20.0,2.0,2.0,0.0
62094,Aberdeen City,2020-03-06,0.0,2.0,4.0,2.0,1.0,0.0
62095,Aberdeen City,2020-03-07,-2.0,2.0,-15.0,3.0,1.0,0.0
62096,Aberdeen City,2020-03-08,1.0,5.0,21.0,10.0,0.0,-1.0
62097,Aberdeen City,2020-03-09,3.0,2.0,-2.0,1.0,0.0,1.0
62098,Aberdeen City,2020-03-10,3.0,5.0,14.0,3.0,1.0,0.0
62099,Aberdeen City,2020-03-11,0.0,4.0,-8.0,-4.0,0.0,1.0
62100,Aberdeen City,2020-03-12,-5.0,9.0,-7.0,-8.0,0.0,1.0
62101,Aberdeen City,2020-03-13,-4.0,9.0,-8.0,-7.0,-2.0,1.0
62102,Aberdeen City,2020-03-14,-13.0,8.0,-34.0,-11.0,-2.0,3.0
62103,Aberdeen City,2020-03-15,-8.0,5.0,-22.0,-4.0,-4.0,1.0
62104,Aberdeen City,2020-03-16,-6.0,17.0,-14.0,-16.0,-9.0,4.0
62105,Aberdeen City,2020-03-17,-18.0,17.0,-10.0,-25.0,-16.0,7.0
62106,Aberdeen City,2020-03-18,-24.0,19.0,-4.0,-28.0,-24.0,10.0
62107,Aberdeen City,2020-03-19,-28.0,20.0,1.0,-32.0,-29.0,12.0
62108,Aberdeen City,2020-03-20,-35.0,7.0,-9.0,-34.0,-31.0,13.0
62109,Aberdeen City,2020-03-21,-57.0,1.0,-12.0,-44.0,-26.0,11.0
62110,Aberdeen City,2020-03-22,-60.0,-15.0,-6.0,-44.0,-32.0,8.0
62111,Aberdeen City,2020-03-23,-53.0,-14.0,-32.0,-51.0,-48.0,18.0
62112,Aberdeen City,2020-03-24,-75.0,-26.0,-30.0,-59.0,-61.0,24.0
62113,Aberdeen City,2020-03-25,-78.0,-26.0,-25.0,-63.0,-67.0,27.0
62114,Aberdeen City,2020-03-26,-80.0,-28.0,-16.0,-67.0,-69.0,28.0
62115,Aberdeen City,2020-03-27,-80.0,-28.0,-28.0,-69.0,-69.0,30.0
62116,Aberdeen City,2020-03-28,-87.0,-36.0,-55.0,-73.0,-60.0,
62117,Aberdeen City,2020-03-29,-86.0,-41.0,-46.0,-73.0,-58.0,
62118,Aberdeen City,2020-03-30,-77.0,-32.0,-15.0,-68.0,-70.0,27.0
62119,Aberdeen City,2020-03-31,-79.0,-30.0,-30.0,-68.0,-71.0,28.0
62120,Aberdeen City,2020-04-01,-79.0,-30.0,-27.0,-68.0,-70.0,29.0
62121,Aberdeen City,2020-04-02,-81.0,-33.0,-33.0,-72.0,-71.0,30.0
