area,day,C_lower,C_median,C_upper
Aberdeen City,1,0.16779,0.28883,0.47541
Aberdeen City,2,0.15518,0.26889,0.44707
Aberdeen City,3,0.14313,0.25444,0.43932
Aberdeen City,4,0.13132,0.24348,0.44557
Aberdeen City,5,0.11995,0.23453,0.45943
Aberdeen City,6,0.10925,0.22669,0.47703
Aberdeen City,7,0.09932,0.21945,0.49648
Aberdeen City,8,0.09019,0.21258,0.51700
Aberdeen City,9,0.08185,0.20597,0.53833
Aberdeen City,10,0.07427,0.19957,0.56046
Aberdeen City,11,0.06738,0.19336,0.58343
Aberdeen City,12,0.06112,0.18734,0.60730
Aberdeen City,13,0.05545,0.18150,0.63213
Aberdeen City,14,0.05030,0.17584,0.65795
Aberdeen City,15,0.04563,0.17036,0.68483
Aberdeen City,16,0.04140,0.16504,0.71281
Aberdeen City,17,0.03755,0.15989,0.74193
Aberdeen City,18,0.03407,0.15491,0.77224
Aberdeen City,19,0.03091,0.15007,0.80379
Aberdeen City,20,0.02804,0.14539,0.83662
Aberdeen City,21,0.02544,0.14086,0.87080
Aberdeenshire,1,0.19166,0.32993,0.54307
Aberdeenshire,2,0.17726,0.30716,0.51068
Aberdeenshire,3,0.16350,0.29065,0.50184
Aberdeenshire,4,0.15000,0.27813,0.50897
Aberdeenshire,5,0.13702,0.26790,0.52480
Aberdeenshire,6,0.12480,0.25894,0.54491
Aberdeenshire,7,0.11345,0.25068,0.56713
Aberdeenshire,8,0.10302,0.24283,0.59057
Aberdeenshire,9,0.09350,0.23528,0.61494
Aberdeenshire,10,0.08484,0.22797,0.64022
Aberdeenshire,11,0.07696,0.22088,0.66646
Aberdeenshire,12,0.06982,0.21400,0.69372
Aberdeenshire,13,0.06334,0.20733,0.72208
Aberdeenshire,14,0.05746,0.20087,0.75158
Aberdeenshire,15,0.05212,0.19460,0.78229
Aberdeenshire,16,0.04729,0.18853,0.81424
Aberdeenshire,17,0.04290,0.18265,0.84751
Aberdeenshire,18,0.03892,0.17695,0.88213
Aberdeenshire,19,0.03530,0.17143,0.91817
Aberdeenshire,20,0.03203,0.16608,0.95567
Aberdeenshire,21,0.02906,0.16090,0.99471
Angus,1,0.06685,0.11933,0.19938
Angus,2,0.05960,0.10711,0.18082
Angus,3,0.05260,0.09721,0.17090
Angus,4,0.04649,0.09006,0.16876
Angus,5,0.04125,0.08485,0.17131
Angus,6,0.03675,0.08083,0.17625
Angus,7,0.03286,0.07747,0.18232
Angus,8,0.02945,0.07447,0.18892
Angus,9,0.02643,0.07169,0.19581
Angus,10,0.02374,0.06904,0.20293
Angus,11,0.02134,0.06650,0.21027
Angus,12,0.01919,0.06405,0.21785
Angus,13,0.01725,0.06169,0.22570
Angus,14,0.01551,0.05942,0.23382
Angus,15,0.01395,0.05722,0.24223
Angus,16,0.01254,0.05511,0.25093
Angus,17,0.01128,0.05307,0.25996
Angus,18,0.01014,0.05111,0.26930
Angus,19,0.00912,0.04922,0.27899
Angus,20,0.00820,0.04740,0.28902
Angus,21,0.00737,0.04565,0.29941
Ayrshire and Arran,1,0.17329,0.30404,0.50738
Ayrshire and Arran,2,0.15114,0.26694,0.45005
Ayrshire and Arran,3,0.13145,0.23859,0.41892
Ayrshire and Arran,4,0.11503,0.21874,0.40954
Ayrshire and Arran,5,0.10143,0.20462,0.41286
Ayrshire and Arran,6,0.09001,0.19388,0.42247
Ayrshire and Arran,7,0.08026,0.18499,0.43489
Ayrshire and Arran,8,0.07178,0.17712,0.44848
Ayrshire and Arran,9,0.06432,0.16984,0.46263
Ayrshire and Arran,10,0.05770,0.16293,0.47715
Ayrshire and Arran,11,0.05179,0.15633,0.49203
Ayrshire and Arran,12,0.04650,0.14999,0.50732
Ayrshire and Arran,13,0.04175,0.14390,0.52303
Ayrshire and Arran,14,0.03749,0.13805,0.53921
Ayrshire and Arran,15,0.03367,0.13243,0.55589
Ayrshire and Arran,16,0.03023,0.12704,0.57308
Ayrshire and Arran,17,0.02715,0.12186,0.59079
Ayrshire and Arran,18,0.02438,0.11690,0.60906
Ayrshire and Arran,19,0.02189,0.11213,0.62789
Ayrshire and Arran,20,0.01965,0.10756,0.64730
Ayrshire and Arran,21,0.01765,0.10318,0.66731
Barking and Dagenham,1,0.32272,0.56350,0.88657
Barking and Dagenham,2,0.34326,0.60265,0.95508
Barking and Dagenham,3,0.35610,0.63722,1.03520
Barking and Dagenham,4,0.35243,0.65023,1.09735
Barking and Dagenham,5,0.33636,0.64588,1.14298
Barking and Dagenham,6,0.31329,0.63100,1.17854
Barking and Dagenham,7,0.28736,0.61079,1.20919
Barking and Dagenham,8,0.26114,0.58842,1.23799
Barking and Dagenham,9,0.23604,0.56561,1.26650
Barking and Dagenham,10,0.21273,0.54319,1.29538
Barking and Dagenham,11,0.19144,0.52150,1.32491
Barking and Dagenham,12,0.17215,0.50065,1.35516
Barking and Dagenham,13,0.15476,0.48064,1.38615
Barking and Dagenham,14,0.13912,0.46146,1.41787
Barking and Dagenham,15,0.12506,0.44306,1.45034
Barking and Dagenham,16,0.11243,0.42540,1.48356
Barking and Dagenham,17,0.10107,0.40845,1.51755
Barking and Dagenham,18,0.09087,0.39218,1.55231
Barking and Dagenham,19,0.08170,0.37657,1.58787
Barking and Dagenham,20,0.07345,0.36157,1.62425
Barking and Dagenham,21,0.06604,0.34717,1.66146
Barnet,1,0.95272,1.55553,2.37082
Barnet,2,0.94284,1.55024,2.38510
Barnet,3,0.91179,1.53901,2.44970
Barnet,4,0.86842,1.52912,2.56290
Barnet,5,0.81966,1.52148,2.70868
Barnet,6,0.76980,1.51553,2.87539
Barnet,7,0.72114,1.51057,3.05708
Barnet,8,0.67477,1.50613,3.25149
Barnet,9,0.63108,1.50193,3.45830
Barnet,10,0.59013,1.49784,3.67802
Barnet,11,0.55183,1.49378,3.91147
Barnet,12,0.51603,1.48974,4.15961
Barnet,13,0.48258,1.48570,4.42343
Barnet,14,0.45131,1.48168,4.70394
Barnet,15,0.42208,1.47766,5.00224
Barnet,16,0.39474,1.47365,5.31944
Barnet,17,0.36918,1.46965,5.65676
Barnet,18,0.34527,1.46566,6.01547
Barnet,19,0.32292,1.46169,6.39693
Barnet,20,0.30201,1.45772,6.80258
Barnet,21,0.28245,1.45376,7.23395
Barnsley,1,3.41683,4.86149,6.88346
Barnsley,2,3.15393,4.50465,6.41232
Barnsley,3,2.89285,4.19460,6.09536
Barnsley,4,2.64090,3.92721,5.89933
Barnsley,5,2.40331,3.69120,5.77435
Barnsley,6,2.18282,3.47761,5.68549
Barnsley,7,1.98032,3.28061,5.61304
Barnsley,8,1.79550,3.09676,5.54726
Barnsley,9,1.62742,2.92403,5.48390
Barnsley,10,1.47487,2.76123,5.42140
Barnsley,11,1.33655,2.60755,5.35933
Barnsley,12,1.21119,2.46242,5.29767
Barnsley,13,1.09759,2.32533,5.23650
Barnsley,14,0.99465,2.19585,5.17592
Barnsley,15,0.90138,2.07356,5.11597
Barnsley,16,0.81686,1.95807,5.05668
Barnsley,17,0.74026,1.84901,4.99807
Barnsley,18,0.67086,1.74602,4.94013
Barnsley,19,0.60796,1.64877,4.88285
Barnsley,20,0.55096,1.55693,4.82625
Barnsley,21,0.49930,1.47020,4.77030
Bath and North East Somerset,1,0.00994,0.01808,0.03226
Bath and North East Somerset,2,0.03167,0.05771,0.10337
Bath and North East Somerset,3,0.04801,0.08813,0.15991
Bath and North East Somerset,4,0.05628,0.10506,0.19609
Bath and North East Somerset,5,0.05854,0.11239,0.21953
Bath and North East Somerset,6,0.05716,0.11419,0.23703
Bath and North East Somerset,7,0.05389,0.11320,0.25260
Bath and North East Somerset,8,0.04983,0.11098,0.26818
Bath and North East Somerset,9,0.04559,0.10831,0.28457
Bath and North East Somerset,10,0.04148,0.10555,0.30204
Bath and North East Somerset,11,0.03764,0.10282,0.32070
Bath and North East Somerset,12,0.03412,0.10018,0.34059
Bath and North East Somerset,13,0.03091,0.09762,0.36175
Bath and North East Somerset,14,0.02800,0.09515,0.38425
Bath and North East Somerset,15,0.02537,0.09274,0.40815
Bath and North East Somerset,16,0.02299,0.09041,0.43354
Bath and North East Somerset,17,0.02084,0.08813,0.46051
Bath and North East Somerset,18,0.01888,0.08591,0.48916
Bath and North East Somerset,19,0.01712,0.08375,0.51959
Bath and North East Somerset,20,0.01551,0.08165,0.55192
Bath and North East Somerset,21,0.01406,0.07959,0.58625
Bedford,1,1.99725,2.98081,4.36419
Bedford,2,1.79656,2.69369,3.96932
Bedford,3,1.61055,2.46000,3.71788
Bedford,4,1.44641,2.27936,3.58773
Bedford,5,1.30268,2.13598,3.53034
Bedford,6,1.17617,2.01609,3.50999
Bedford,7,1.06388,1.91066,3.50608
Bedford,8,0.96346,1.81446,3.50837
