,Country,area,Date,cases_new,cases_new_smoothed
0,England,Barking and Dagenham,2020-01-30,0.0,
1,England,Barking and Dagenham,2020-01-31,0.0,
2,England,Barking and Dagenham,2020-02-01,0.0,
3,England,Barking and Dagenham,2020-02-02,0.0,0.0
4,England,Barking and Dagenham,2020-02-03,0.0,0.0
5,England,Barking and Dagenham,2020-02-04,0.0,0.0
6,England,Barking and Dagenham,2020-02-05,0.0,0.0
7,England,Barking and Dagenham,2020-02-06,0.0,0.0
8,England,Barking and Dagenham,2020-02-07,0.0,0.0
9,England,Barking and Dagenham,2020-02-08,0.0,0.0
10,England,Barking and Dagenham,2020-02-09,0.0,0.0
11,England,Barking and Dagenham,2020-02-10,0.0,0.0
12,England,Barking and Dagenham,2020-02-11,0.0,0.0
13,England,Barking and Dagenham,2020-02-12,0.0,0.0
14,England,Barking and Dagenham,2020-02-13,0.0,0.0
15,England,Barking and Dagenham,2020-02-14,0.0,0.0
16,England,Barking and Dagenham,2020-02-15,0.0,0.0
17,England,Barking and Dagenham,2020-02-16,0.0,0.0
18,England,Barking and Dagenham,2020-02-17,0.0,0.0
19,England,Barking and Dagenham,2020-02-18,0.0,0.0
20,England,Barking and Dagenham,2020-02-19,0.0,0.0
21,England,Barking and Dagenham,2020-02-20,0.0,0.0
22,England,Barking and Dagenham,2020-02-21,0.0,0.0
23,England,Barking and Dagenham,2020-02-22,0.0,0.0
24,England,Barking and Dagenham,2020-02-23,0.0,0.0
25,England,Barking and Dagenham,2020-02-24,0.0,0.0
26,England,Barking and Dagenham,2020-02-25,0.0,0.0
27,England,Barking and Dagenham,2020-02-26,0.0,0.0
28,England,Barking and Dagenham,2020-02-27,0.0,0.14285714285714285
29,England,Barking and Dagenham,2020-02-28,0.0,0.14285714285714285
30,England,Barking and Dagenham,2020-02-29,0.0,0.14285714285714285
31,England,Barking and Dagenham,2020-03-01,1.0,0.14285714285714285
32,England,Barking and Dagenham,2020-03-02,0.0,0.14285714285714285
33,England,Barking and Dagenham,2020-03-03,0.0,0.14285714285714285
34,England,Barking and Dagenham,2020-03-04,0.0,0.14285714285714285
35,England,Barking and Dagenham,2020-03-05,0.0,0.14285714285714285
36,England,Barking and Dagenham,2020-03-06,0.0,0.2857142857142857
37,England,Barking and Dagenham,2020-03-07,0.0,0.2857142857142857
38,England,Barking and Dagenham,2020-03-08,1.0,0.42857142857142855
39,England,Barking and Dagenham,2020-03-09,1.0,1.0
40,England,Barking and Dagenham,2020-03-10,0.0,1.1428571428571428
41,England,Barking and Dagenham,2020-03-11,1.0,1.4285714285714286
42,England,Barking and Dagenham,2020-03-12,4.0,1.8571428571428572
43,England,Barking and Dagenham,2020-03-13,1.0,2.2857142857142856
44,England,Barking and Dagenham,2020-03-14,2.0,3.0
45,England,Barking and Dagenham,2020-03-15,4.0,3.5714285714285716
46,England,Barking and Dagenham,2020-03-16,4.0,3.5714285714285716
47,England,Barking and Dagenham,2020-03-17,5.0,4.714285714285714
48,England,Barking and Dagenham,2020-03-18,5.0,5.857142857142857
49,England,Barking and Dagenham,2020-03-19,4.0,6.285714285714286
50,England,Barking and Dagenham,2020-03-20,9.0,7.285714285714286
51,England,Barking and Dagenham,2020-03-21,10.0,8.285714285714286
52,England,Barking and Dagenham,2020-03-22,7.0,9.142857142857142
