area,Date,C_025,C_25,C_50,C_75,C_975,provenance
Buckinghamshire,2020-08-01,3.6,3.6,3.6,3.6,3.6,inferred
Buckinghamshire,2020-08-02,3.5,3.5,3.5,3.5,3.6,inferred
Buckinghamshire,2020-08-03,3.6,3.6,3.6,3.6,3.6,inferred
Buckinghamshire,2020-08-04,3.7,3.8,3.8,3.8,3.9,inferred
Buckinghamshire,2020-08-05,3.8,3.9,4.1,4.2,4.4,inferred
Buckinghamshire,2020-08-06,3.6,3.9,4.3,4.6,4.8,inferred
Buckinghamshire,2020-08-07,3.6,3.8,4.6,5.0,5.2,inferred
Buckinghamshire,2020-08-08,3.8,4.0,4.8,5.3,5.7,inferred
Buckinghamshire,2020-08-09,4.1,4.4,4.9,5.4,6.2,inferred
Buckinghamshire,2020-08-10,4.6,4.8,5.0,5.2,6.7,inferred
Buckinghamshire,2020-08-11,4.6,5.1,5.3,5.5,7.2,inferred
Buckinghamshire,2020-08-12,4.1,5.3,5.5,6.0,7.5,inferred
Buckinghamshire,2020-08-13,4.4,5.5,6.1,6.6,7.6,inferred
Buckinghamshire,2020-08-14,5.3,5.9,6.4,7.1,7.8,inferred
Buckinghamshire,2020-08-15,5.8,6.1,6.6,7.7,8.2,inferred
Buckinghamshire,2020-08-16,6.1,6.5,6.7,8.2,8.3,inferred
Buckinghamshire,2020-08-17,6.3,6.5,7.0,7.9,8.6,inferred
Buckinghamshire,2020-08-18,6.3,6.7,7.2,8.0,8.7,inferred
Buckinghamshire,2020-08-19,6.2,6.8,7.2,7.7,8.4,inferred
Buckinghamshire,2020-08-20,6.1,7.0,7.3,7.7,8.7,inferred
Buckinghamshire,2020-08-21,5.8,6.9,7.3,7.7,8.6,inferred
Buckinghamshire,2020-08-22,5.7,7.1,7.6,8.0,8.3,inferred
Buckinghamshire,2020-08-23,5.8,7.4,7.7,8.4,8.8,inferred
Buckinghamshire,2020-08-24,6.2,7.5,8.0,9.3,9.5,inferred
Buckinghamshire,2020-08-25,6.8,7.9,8.6,9.9,10.1,inferred
Buckinghamshire,2020-08-26,7.3,8.5,9.3,10.4,10.8,inferred
Buckinghamshire,2020-08-27,7.8,9.6,10.1,10.9,11.9,inferred
Buckinghamshire,2020-08-28,8.3,9.8,10.9,11.1,12.9,inferred
Buckinghamshire,2020-08-29,9.0,10.2,10.8,11.6,12.9,inferred
Buckinghamshire,2020-08-30,9.6,10.2,10.6,11.7,12.3,inferred
Buckinghamshire,2020-08-31,9.3,9.6,10.5,11.5,12.0,inferred
Buckinghamshire,2020-09-01,8.8,9.4,10.2,11.5,11.7,inferred
Buckinghamshire,2020-09-02,8.2,9.4,10.4,11.5,12.6,inferred
Buckinghamshire,2020-09-03,8.1,8.9,10.3,11.8,13.8,inferred
Buckinghamshire,2020-09-04,8.4,8.6,9.9,11.9,14.3,inferred
Buckinghamshire,2020-09-05,8.4,8.6,9.2,11.8,13.8,inferred
Buckinghamshire,2020-09-06,8.2,8.4,9.2,11.7,12.5,inferred
Buckinghamshire,2020-09-07,8.1,8.4,9.7,11.2,11.6,inferred
Buckinghamshire,2020-09-08,8.1,8.7,9.7,10.4,11.5,inferred
Buckinghamshire,2020-09-09,8.1,8.8,9.6,10.1,11.7,inferred
Buckinghamshire,2020-09-10,8.2,8.3,9.4,11.0,11.8,inferred
Buckinghamshire,2020-09-11,7.6,8.7,9.7,10.9,11.7,inferred
Buckinghamshire,2020-09-12,7.3,8.7,10.5,11.3,11.8,inferred
Buckinghamshire,2020-09-13,7.6,8.9,10.5,11.8,12.2,inferred
Buckinghamshire,2020-09-14,8.5,9.5,10.6,11.7,12.9,inferred
Buckinghamshire,2020-09-15,9.8,10.0,10.6,11.6,13.7,inferred
Buckinghamshire,2020-09-16,10.3,10.7,11.6,12.2,14.4,inferred
Buckinghamshire,2020-09-17,11.0,11.5,12.4,13.5,14.3,inferred
Buckinghamshire,2020-09-18,11.8,12.2,13.7,13.8,15.1,inferred
