area,Date,C_025,C_25,C_50,C_75,C_975,provenance
Buckinghamshire,2020-11-21,66.6,93.2,99.4,111.8,132.4,projected
Buckinghamshire,2020-11-22,60.8,87.7,96.7,110.6,139.6,projected
Buckinghamshire,2020-11-23,55.9,83.3,93.4,108.2,145.4,projected
Buckinghamshire,2020-11-24,52.5,80.5,90.5,104.9,149.7,projected
Buckinghamshire,2020-11-25,50.3,79.8,88.8,103.4,153.1,projected
Buckinghamshire,2020-11-26,48.9,78.9,89.0,104.8,156.0,projected
Buckinghamshire,2020-11-27,47.5,76.9,89.2,108.1,162.3,projected
Buckinghamshire,2020-11-28,45.8,75.0,89.6,111.9,169.0,projected
Buckinghamshire,2020-11-29,43.0,73.2,89.5,113.4,179.2,projected
Buckinghamshire,2020-11-30,40.4,71.7,89.7,115.0,189.7,projected
Buckinghamshire,2020-12-01,38.1,70.0,89.1,116.2,199.7,projected
Buckinghamshire,2020-12-02,36.1,68.6,88.7,117.8,208.6,projected
Buckinghamshire,2020-12-03,34.2,67.0,88.5,118.2,217.3,projected
Buckinghamshire,2020-12-04,31.5,65.8,88.4,119.3,228.9,projected
Buckinghamshire,2020-12-05,29.1,64.3,88.2,120.5,238.7,projected
Buckinghamshire,2020-12-06,27.7,62.6,87.6,122.6,251.9,projected
Buckinghamshire,2020-12-07,25.3,60.7,87.1,124.1,266.6,projected
Buckinghamshire,2020-12-08,24.0,59.1,86.2,125.7,283.1,projected
Buckinghamshire,2020-12-09,22.5,57.5,85.3,128.1,302.8,projected
Buckinghamshire,2020-12-10,21.3,56.2,84.7,129.5,321.1,projected
Buckinghamshire,2020-12-11,20.4,54.6,84.2,131.1,345.0,projected
Cherwell,2020-11-21,12.7,15.8,18.4,21.8,26.4,projected
Cherwell,2020-11-22,12.2,15.3,17.8,21.6,24.8,projected
Cherwell,2020-11-23,11.8,14.6,17.2,22.3,23.5,projected
Cherwell,2020-11-24,10.4,12.9,16.7,23.0,24.0,projected
Cherwell,2020-11-25,9.5,11.8,16.2,23.1,26.2,projected
Cherwell,2020-11-26,8.7,11.3,15.8,23.2,28.2,projected
Cherwell,2020-11-27,8.1,11.5,15.6,22.7,30.0,projected
Cherwell,2020-11-28,7.6,11.7,15.7,22.2,31.9,projected
Cherwell,2020-11-29,7.3,11.8,16.0,22.1,33.7,projected
Cherwell,2020-11-30,6.9,11.7,16.1,22.1,35.1,projected
Cherwell,2020-12-01,6.5,11.6,15.9,22.1,36.6,projected
Cherwell,2020-12-02,6.2,11.4,15.8,22.1,37.9,projected
Cherwell,2020-12-03,6.0,11.3,15.9,22.1,39.6,projected
Cherwell,2020-12-04,5.6,11.1,15.7,22.3,41.1,projected
Cherwell,2020-12-05,5.3,10.8,15.5,22.5,43.2,projected
Cherwell,2020-12-06,5.2,10.5,15.4,22.6,45.4,projected
Cherwell,2020-12-07,4.9,10.3,15.3,22.7,47.7,projected
Cherwell,2020-12-08,4.7,10.1,15.2,23.0,49.5,projected
Cherwell,2020-12-09,4.5,9.8,15.1,23.4,51.5,projected
Cherwell,2020-12-10,4.3,9.6,15.1,23.7,54.1,projected
Cherwell,2020-12-11,4.1,9.3,15.0,24.1,58.1,projected
Dacorum,2020-11-21,20.1,27.1,30.0,32.8,34.8,projected
Dacorum,2020-11-22,17.8,26.7,29.5,33.8,35.9,projected
Dacorum,2020-11-23,15.8,26.8,29.4,32.8,39.1,projected
Dacorum,2020-11-24,14.1,26.7,29.6,31.9,43.5,projected
Dacorum,2020-11-25,12.8,27.4,30.1,32.5,47.8,projected
Dacorum,2020-11-26,12.1,27.2,30.1,33.9,50.9,projected
Dacorum,2020-11-27,11.7,26.4,30.2,35.3,52.8,projected
Dacorum,2020-11-28,11.6,25.3,30.1,36.0,53.9,projected
Dacorum,2020-11-29,11.5,24.3,29.8,36.6,55.9,projected
Dacorum,2020-11-30,11.5,23.3,29.5,37.0,58.0,projected
Dacorum,2020-12-01,11.3,22.6,29.4,37.4,62.1,projected
Dacorum,2020-12-02,11.0,21.9,29.3,38.1,65.5,projected
Dacorum,2020-12-03,10.4,21.2,29.1,38.6,68.8,projected
Dacorum,2020-12-04,9.9,21.0,29.1,39.2,72.7,projected
Dacorum,2020-12-05,9.4,20.5,29.0,39.9,76.3,projected
Dacorum,2020-12-06,9.3,20.0,28.8,40.5,80.9,projected
Dacorum,2020-12-07,8.9,19.5,28.7,40.9,86.0,projected
Dacorum,2020-12-08,8.2,19.1,28.4,41.5,92.0,projected
Dacorum,2020-12-09,7.8,18.9,28.0,42.3,99.5,projected
Dacorum,2020-12-10,7.5,18.2,27.8,42.8,106.7,projected
Dacorum,2020-12-11,7.2,17.9,27.8,43.9,113.7,projected
Milton Keynes,2020-11-21,46.8,75.6,83.6,91.4,96.6,projected
Milton Keynes,2020-11-22,45.8,78.6,86.9,92.4,99.5,projected
Milton Keynes,2020-11-23,46.8,80.4,88.4,92.9,102.4,projected
Milton Keynes,2020-11-24,49.2,81.7,88.2,93.6,106.0,projected
Milton Keynes,2020-11-25,51.2,82.2,88.4,95.0,110.6,projected
Milton Keynes,2020-11-26,51.5,80.5,88.9,98.5,115.9,projected
Milton Keynes,2020-11-27,50.3,76.9,89.0,100.6,124.4,projected
Milton Keynes,2020-11-28,48.1,73.8,88.4,102.1,134.4,projected
Milton Keynes,2020-11-29,45.3,71.1,87.5,103.9,146.1,projected
Milton Keynes,2020-11-30,43.1,69.0,86.8,106.0,158.5,projected
Milton Keynes,2020-12-01,40.6,67.4,86.3,108.2,171.6,projected
Milton Keynes,2020-12-02,37.9,66.3,86.1,110.5,182.9,projected
Milton Keynes,2020-12-03,36.6,65.3,85.5,112.8,197.2,projected
Milton Keynes,2020-12-04,35.2,64.4,85.0,115.0,211.8,projected
Milton Keynes,2020-12-05,33.7,63.3,85.1,117.6,230.5,projected
Milton Keynes,2020-12-06,31.7,62.0,84.6,119.3,252.6,projected
Milton Keynes,2020-12-07,30.0,60.7,84.7,122.0,276.2,projected
