area,Date,Rt_2_5,Rt_10,Rt_20,Rt_25,Rt_30,Rt_40,Rt_50,Rt_60,Rt_70,Rt_75,Rt_80,Rt_90,Rt_97_5,provenance
Buckinghamshire,2020-08-01,0.68,0.76,0.81,0.83,0.85,0.89,0.93,0.96,1.00,1.03,1.06,1.14,1.28,inferred
Buckinghamshire,2020-08-02,0.68,0.76,0.81,0.83,0.85,0.89,0.93,0.96,1.00,1.03,1.06,1.14,1.28,inferred
Buckinghamshire,2020-08-03,0.68,0.76,0.81,0.83,0.85,0.89,0.93,0.96,1.00,1.03,1.06,1.14,1.28,inferred
Buckinghamshire,2020-08-04,0.68,0.76,0.81,0.83,0.85,0.89,0.93,0.96,1.00,1.03,1.06,1.14,1.28,inferred
Buckinghamshire,2020-08-05,0.68,0.76,0.81,0.83,0.85,0.89,0.93,0.96,1.00,1.03,1.06,1.14,1.28,inferred
Buckinghamshire,2020-08-06,0.68,0.76,0.81,0.83,0.85,0.89,0.93,0.96,1.00,1.03,1.06,1.14,1.28,inferred
Buckinghamshire,2020-08-07,0.68,0.76,0.81,0.83,0.85,0.89,0.93,0.96,1.00,1.03,1.06,1.14,1.28,inferred
Buckinghamshire,2020-08-08,0.78,0.86,0.92,0.94,0.96,0.99,1.03,1.06,1.10,1.13,1.16,1.24,1.38,inferred
Buckinghamshire,2020-08-09,0.78,0.86,0.92,0.94,0.96,0.99,1.03,1.06,1.10,1.13,1.16,1.24,1.38,inferred
Buckinghamshire,2020-08-10,0.78,0.86,0.92,0.94,0.96,0.99,1.03,1.06,1.10,1.13,1.16,1.24,1.38,inferred
Buckinghamshire,2020-08-11,0.78,0.86,0.92,0.94,0.96,0.99,1.03,1.06,1.10,1.13,1.16,1.24,1.38,inferred
Buckinghamshire,2020-08-12,0.78,0.86,0.92,0.94,0.96,0.99,1.03,1.06,1.10,1.13,1.16,1.24,1.38,inferred
Buckinghamshire,2020-08-13,0.78,0.86,0.92,0.94,0.96,0.99,1.03,1.06,1.10,1.13,1.16,1.24,1.38,inferred
Buckinghamshire,2020-08-14,0.78,0.86,0.92,0.94,0.96,0.99,1.03,1.06,1.10,1.13,1.16,1.24,1.38,inferred
Buckinghamshire,2020-08-15,0.71,0.78,0.83,0.85,0.87,0.90,0.93,0.96,1.00,1.02,1.04,1.11,1.23,inferred
Buckinghamshire,2020-08-16,0.71,0.78,0.83,0.85,0.87,0.90,0.93,0.96,1.00,1.02,1.04,1.11,1.23,inferred
Buckinghamshire,2020-08-17,0.71,0.78,0.83,0.85,0.87,0.90,0.93,0.96,1.00,1.02,1.04,1.11,1.23,inferred
Buckinghamshire,2020-08-18,0.71,0.78,0.83,0.85,0.87,0.90,0.93,0.96,1.00,1.02,1.04,1.11,1.23,inferred
Buckinghamshire,2020-08-19,0.71,0.78,0.83,0.85,0.87,0.90,0.93,0.96,1.00,1.02,1.04,1.11,1.23,inferred
Buckinghamshire,2020-08-20,0.71,0.78,0.83,0.85,0.87,0.90,0.93,0.96,1.00,1.02,1.04,1.11,1.23,inferred
Buckinghamshire,2020-08-21,0.71,0.78,0.83,0.85,0.87,0.90,0.93,0.96,1.00,1.02,1.04,1.11,1.23,inferred
Buckinghamshire,2020-08-22,0.76,0.83,0.88,0.90,0.92,0.96,0.99,1.03,1.07,1.09,1.12,1.20,1.35,inferred
Buckinghamshire,2020-08-23,0.76,0.83,0.88,0.90,0.92,0.96,0.99,1.03,1.07,1.09,1.12,1.20,1.35,inferred
Buckinghamshire,2020-08-24,0.76,0.83,0.88,0.90,0.92,0.96,0.99,1.03,1.07,1.09,1.12,1.20,1.35,inferred
Buckinghamshire,2020-08-25,0.76,0.83,0.88,0.90,0.92,0.96,0.99,1.03,1.07,1.09,1.12,1.20,1.35,inferred
Buckinghamshire,2020-08-26,0.76,0.83,0.88,0.90,0.92,0.96,0.99,1.03,1.07,1.09,1.12,1.20,1.35,inferred
Buckinghamshire,2020-08-27,0.76,0.83,0.88,0.90,0.92,0.96,0.99,1.03,1.07,1.09,1.12,1.20,1.35,inferred
Buckinghamshire,2020-08-28,0.76,0.83,0.88,0.90,0.92,0.96,0.99,1.03,1.07,1.09,1.12,1.20,1.35,inferred
Buckinghamshire,2020-08-29,0.72,0.80,0.85,0.87,0.89,0.93,0.96,0.99,1.04,1.06,1.09,1.16,1.31,inferred
