area,Date,C_025,C_05,C_25,C_50,C_75,C_95,C_975,provenance
"North East and Yorkshire",2020-09-19,  675.5,  699.0,  779.0,  846.0,  934.0, 1088.0, 1147.5,inferred
"North East and Yorkshire",2020-09-20,  749.5,  771.9,  855.0,  931.0, 1025.2, 1205.0, 1241.0,inferred
"North East and Yorkshire",2020-09-21, 1243.9, 1277.9, 1386.0, 1498.5, 1615.2, 1956.0, 2037.5,inferred
"North East and Yorkshire",2020-09-22, 1310.9, 1340.0, 1442.8, 1535.0, 1650.0, 2002.0, 2074.5,inferred
"North East and Yorkshire",2020-09-23, 1388.4, 1415.9, 1532.0, 1625.5, 1723.0, 2004.0, 2074.6,inferred
"North East and Yorkshire",2020-09-24, 1370.0, 1402.0, 1492.0, 1573.0, 1667.0, 1870.0, 1934.0,inferred
"North East and Yorkshire",2020-09-25, 1354.0, 1384.0, 1476.8, 1548.0, 1624.0, 1742.0, 1786.6,inferred
"North East and Yorkshire",2020-09-26, 1343.8, 1369.8, 1457.0, 1516.0, 1581.0, 1684.0, 1711.5,inferred
"North East and Yorkshire",2020-09-27, 1515.5, 1538.9, 1637.0, 1698.5, 1760.0, 1864.2, 1905.0,inferred
"North East and Yorkshire",2020-09-28, 2538.5, 2577.9, 2701.8, 2792.5, 2881.2, 3015.1, 3070.0,inferred
"North East and Yorkshire",2020-09-29, 2601.5, 2650.0, 2785.8, 2880.0, 2979.0, 3111.0, 3140.5,inferred
"North East and Yorkshire",2020-09-30, 2678.3, 2739.9, 2852.5, 2947.0, 3046.0, 3186.0, 3227.5,inferred
"North East and Yorkshire",2020-10-01, 2538.5, 2572.0, 2695.0, 2778.0, 2857.0, 2985.1, 3022.6,inferred
"North East and Yorkshire",2020-10-02, 2407.5, 2441.9, 2548.0, 2626.0, 2707.0, 2833.1, 2869.5,inferred
"North East and Yorkshire",2020-10-03, 2263.9, 2301.9, 2414.0, 2486.0, 2565.0, 2689.0, 2725.0,inferred
"North East and Yorkshire",2020-10-04, 2452.5, 2491.9, 2610.0, 2689.0, 2769.0, 2899.1, 2947.0,inferred
"North East and Yorkshire",2020-10-05, 3965.8, 4016.0, 4165.0, 4271.0, 4381.0, 4534.0, 4588.0,inferred
"North East and Yorkshire",2020-10-06, 3908.9, 3959.9, 4096.0, 4204.0, 4309.2, 4466.0, 4509.0,inferred
"North East and Yorkshire",2020-10-07, 3771.0, 3809.0, 3946.8, 4047.0, 4147.0, 4323.0, 4376.6,inferred
"North East and Yorkshire",2020-10-08, 3314.0, 3357.0, 3485.8, 3574.0, 3673.0, 3800.1, 3840.0,inferred
"North East and Yorkshire",2020-10-09, 2945.0, 2981.0, 3098.0, 3190.5, 3282.2, 3430.1, 3471.0,inferred
"North East and Yorkshire",2020-10-10, 2609.9, 2649.9, 2771.0, 2854.0, 2938.0, 3057.0, 3097.0,inferred
"North East and Yorkshire",2020-10-11, 2679.5, 2717.0, 2834.0, 2917.0, 3000.0, 3119.2, 3159.5,inferred
"North East and Yorkshire",2020-10-12, 4112.0, 4157.0, 4298.8, 4402.5, 4519.0, 4677.0, 4723.6,inferred
"North East and Yorkshire",2020-10-13, 4009.5, 4055.0, 4206.0, 4300.0, 4406.0, 4560.1, 4610.0,inferred
"North East and Yorkshire",2020-10-14, 3949.5, 3997.8, 4139.0, 4242.0, 4349.2, 4507.0, 4539.1,inferred
"North East and Yorkshire",2020-10-15, 3609.5, 3650.0, 3780.0, 3874.5, 3976.0, 4118.0, 4173.0,inferred
"North East and Yorkshire",2020-10-16, 3298.0, 3341.0, 3492.0, 3572.0, 3667.2, 3812.1, 3854.5,inferred
"North East and Yorkshire",2020-10-17, 3056.9, 3086.0, 3212.0, 3300.0, 3381.0, 3516.1, 3562.0,inferred
"North East and Yorkshire",2020-10-18, 3187.4, 3243.9, 3370.0, 3454.5, 3550.0, 3694.0, 3739.5,inferred
"North East and Yorkshire",2020-10-19, 5010.4, 5069.0, 5236.0, 5352.0, 5472.2, 5639.1, 5707.1,inferred
"North East and Yorkshire",2020-10-20, 4876.5, 4926.0, 5080.8, 5203.5, 5315.0, 5483.0, 5553.1,inferred
"North East and Yorkshire",2020-10-21, 4709.0, 4747.0, 4898.0, 5010.0, 5125.0, 5289.0, 5330.5,inferred
"North East and Yorkshire",2020-10-22, 4162.5, 4198.9, 4334.0, 4425.0, 4528.0, 4692.0, 4750.6,inferred
"North East and Yorkshire",2020-10-23, 3676.9, 3714.9, 3855.0, 3947.5, 4040.2, 4184.0, 4235.1,inferred
"North East and Yorkshire",2020-10-24, 3258.5, 3317.0, 3446.8, 3529.0, 3623.2, 3760.0, 3797.0,inferred
"North East and Yorkshire",2020-10-25, 3343.0, 3384.0, 3507.8, 3600.0, 3693.0, 3827.0, 3869.0,inferred
"North East and Yorkshire",2020-10-26, 5096.0, 5161.9, 5300.8, 5421.0, 5542.2, 5723.0, 5783.1,inferred
"North East and Yorkshire",2020-10-27, 4943.4, 4991.0, 5151.0, 5264.0, 5373.0, 5541.0, 5597.5,inferred
"North East and Yorkshire",2020-10-28, 4848.5, 4898.9, 5051.0, 5160.5, 5278.0, 5455.0, 5500.5,inferred
"North East and Yorkshire",2020-10-29, 4392.0, 4430.9, 4579.0, 4691.0, 4793.2, 4944.0, 4997.0,inferred
"North East and Yorkshire",2020-10-30, 3982.0, 4024.9, 4180.8, 4271.0, 4376.0, 4524.0, 4560.0,inferred
"North East and Yorkshire",2020-10-31, 3643.9, 3677.9, 3819.8, 3910.5, 4004.0, 4150.0, 4202.0,inferred
"North East and Yorkshire",2020-11-01, 3789.5, 3841.8, 3984.0, 4080.0, 4172.2, 4311.0, 4367.0,inferred
"North East and Yorkshire",2020-11-02, 5881.5, 5940.9, 6115.0, 6243.0, 6368.0, 6557.0, 6609.6,inferred
"North East and Yorkshire",2020-11-03, 5722.0, 5769.0, 5937.0, 6061.0, 6187.5, 6377.0, 6424.5,inferred
"North East and Yorkshire",2020-11-04, 5519.0, 5579.0, 5748.0, 5859.0, 5970.2, 6143.0, 6205.0,inferred
"North East and Yorkshire",2020-11-05, 4948.0, 4997.0, 5149.0, 5251.0, 5361.0, 5518.0, 5576.0,inferred
"North East and Yorkshire",2020-11-06, 4430.5, 4475.9, 4618.0, 4718.0, 4824.2, 4975.0, 5027.0,inferred
"North East and Yorkshire",2020-11-07, 3976.5, 4025.0, 4161.0, 4263.0, 4361.0, 4516.3, 4572.0,inferred
"North East and Yorkshire",2020-11-08, 4109.0, 4146.0, 4282.8, 4381.0, 4485.0, 4631.0, 4680.5,inferred
"North East and Yorkshire",2020-11-09, 6253.0, 6310.0, 6484.0, 6621.0, 6756.0, 6956.0, 7021.6,inferred
"North East and Yorkshire",2020-11-10, 5866.5, 5928.0, 6118.8, 6248.0, 6372.2, 6559.0, 6611.0,inferred
"North East and Yorkshire",2020-11-11, 5461.4, 5511.0, 5667.0, 5784.0, 5902.0, 6087.2, 6139.6,inferred
"North East and Yorkshire",2020-11-12, 4604.0, 4656.0, 4798.8, 4914.5, 5027.0, 5184.0, 5229.5,inferred
"North East and Yorkshire",2020-11-13, 3935.5, 3969.9, 4120.8, 4210.5, 4308.2, 4453.0, 4493.5,inferred
"North East and Yorkshire",2020-11-14, 3344.9, 3392.9, 3505.0, 3597.5, 3687.0, 3829.0, 3875.6,inferred
"North East and Yorkshire",2020-11-15, 3257.5, 3291.8, 3425.8, 3515.5, 3611.0, 3740.1, 3785.5,inferred
"North East and Yorkshire",2020-11-16, 4744.9, 4786.0, 4941.0, 5049.0, 5164.0, 5326.0, 5374.1,inferred
"North East and Yorkshire",2020-11-17, 4274.4, 4338.9, 4472.8, 4581.0, 4691.0, 4845.2, 4889.5,inferred
"North East and Yorkshire",2020-11-18, 3852.9, 3889.0, 4025.0, 4128.0, 4225.2, 4357.1, 4416.5,inferred
