area,Date,C_025,C_05,C_25,C_50,C_75,C_95,C_975,provenance
"North East and Yorkshire",2021-01-02,  3089.8,  3141.9,  3288.8,  3392.0,  3502.0,  3656.1,  3695.6,projected
"North East and Yorkshire",2021-01-03,  3222.0,  3264.9,  3428.0,  3544.5,  3657.0,  3834.1,  3902.0,projected
"North East and Yorkshire",2021-01-04,  4920.5,  5006.9,  5300.8,  5481.0,  5668.0,  5944.0,  6007.5,projected
"North East and Yorkshire",2021-01-05,  4791.0,  4895.0,  5194.0,  5406.0,  5620.2,  5930.1,  6033.5,projected
"North East and Yorkshire",2021-01-06,  4681.5,  4786.0,  5124.8,  5379.0,  5615.0,  5997.3,  6126.7,projected
"North East and Yorkshire",2021-01-07,  4231.9,  4326.0,  4698.8,  4938.0,  5216.2,  5598.4,  5716.0,projected
"North East and Yorkshire",2021-01-08,  3824.9,  3934.0,  4308.8,  4588.0,  4868.0,  5320.0,  5452.0,projected
"North East and Yorkshire",2021-01-09,  3440.9,  3548.0,  3968.8,  4263.0,  4556.8,  5068.0,  5189.8,projected
"North East and Yorkshire",2021-01-10,  3590.4,  3699.9,  4179.8,  4526.0,  4919.2,  5502.4,  5673.1,projected
"North East and Yorkshire",2021-01-11,  5468.9,  5733.0,  6483.8,  7094.5,  7759.2,  8836.0,  9178.3,projected
"North East and Yorkshire",2021-01-12,  5337.2,  5626.9,  6453.0,  7119.5,  7873.5,  9006.2,  9394.2,projected
"North East and Yorkshire",2021-01-13,  5285.9,  5596.6,  6486.8,  7210.0,  8038.2,  9309.6,  9764.1,projected
"North East and Yorkshire",2021-01-14,  4798.4,  5117.0,  5995.8,  6724.5,  7615.8,  8968.4,  9458.6,projected
"North East and Yorkshire",2021-01-15,  4451.0,  4710.9,  5590.8,  6362.5,  7283.5,  8782.1,  9355.3,projected
"North East and Yorkshire",2021-01-16,  4087.3,  4340.5,  5254.0,  6068.5,  7014.2,  8611.5,  9193.0,projected
"North East and Yorkshire",2021-01-17,  4347.3,  4643.1,  5643.0,  6558.5,  7717.8,  9743.0, 10402.1,projected
"North East and Yorkshire",2021-01-18,  6736.8,  7220.2,  8961.8, 10573.0, 12448.5, 16380.9, 17407.0,projected
"North East and Yorkshire",2021-01-19,  6736.4,  7285.7,  9110.5, 10840.5, 12999.2, 17492.8, 19144.8,projected
"North East and Yorkshire",2021-01-20,  6697.3,  7354.3,  9297.0, 11163.0, 13701.0, 18998.6, 20939.5,projected
