area,Date,C_025,C_25,C_50,C_75,C_975,provenance
"North East and Yorkshire",2020-11-15, 4325.5, 4325.5, 4325.5, 4325.5, 4325.5,inferred
"North East and Yorkshire",2020-11-16, 4068.7, 4068.7, 4068.7, 4068.7, 4068.7,inferred
"North East and Yorkshire",2020-11-17, 3832.7, 3832.8, 3832.8, 3832.8, 3832.9,inferred
"North East and Yorkshire",2020-11-18, 3611.6, 3613.3, 3614.1, 3614.7, 3615.9,inferred
"North East and Yorkshire",2020-11-19, 3391.2, 3399.0, 3402.9, 3405.6, 3411.8,inferred
"North East and Yorkshire",2020-11-20, 3168.8, 3186.5, 3195.0, 3201.6, 3216.5,inferred
"North East and Yorkshire",2020-11-21, 2949.2, 2980.7, 2992.6, 3004.6, 3029.0,inferred
"North East and Yorkshire",2020-11-22, 2741.9, 2785.2, 2803.8, 2820.4, 2850.2,inferred
"North East and Yorkshire",2020-11-23, 2550.0, 2608.7, 2629.6, 2650.5, 2688.2,inferred
"North East and Yorkshire",2020-11-24, 2385.2, 2449.9, 2470.3, 2493.9, 2539.9,inferred
"North East and Yorkshire",2020-11-25, 2246.2, 2310.6, 2331.9, 2358.5, 2414.5,inferred
"North East and Yorkshire",2020-11-26, 2144.6, 2202.7, 2227.1, 2252.2, 2303.8,inferred
"North East and Yorkshire",2020-11-27, 2075.3, 2130.0, 2151.0, 2174.3, 2218.0,inferred
"North East and Yorkshire",2020-11-28, 2028.3, 2075.8, 2096.7, 2115.3, 2158.4,inferred
"North East and Yorkshire",2020-11-29, 1996.0, 2029.6, 2046.9, 2067.2, 2107.0,inferred
"North East and Yorkshire",2020-11-30, 1953.6, 1984.4, 1999.7, 2018.8, 2058.3,inferred
"North East and Yorkshire",2020-12-01, 1889.1, 1933.7, 1950.4, 1969.3, 2008.5,inferred
"North East and Yorkshire",2020-12-02, 1836.0, 1883.2, 1903.7, 1923.3, 1961.9,inferred
"North East and Yorkshire",2020-12-03, 1806.3, 1853.1, 1874.7, 1896.8, 1938.3,inferred
"North East and Yorkshire",2020-12-04, 1811.4, 1849.3, 1870.7, 1892.7, 1933.1,inferred
"North East and Yorkshire",2020-12-05, 1828.1, 1865.3, 1886.0, 1901.7, 1940.6,inferred
"North East and Yorkshire",2020-12-06, 1854.7, 1886.6, 1905.6, 1922.7, 1959.0,inferred
"North East and Yorkshire",2020-12-07, 1874.7, 1906.9, 1925.5, 1940.1, 1975.0,inferred
