area,Date,C_025,C_25,C_50,C_75,C_975,provenance
East of England,2021-02-28,502.6,542.0,560.7,576.8,609.3,projected
East of England,2021-03-01,478.4,519.1,538.5,556.9,597.6,projected
East of England,2021-03-02,455.3,496.0,517.0,537.3,584.2,projected
East of England,2021-03-03,434.2,474.4,497.1,521.7,569.3,projected
East of England,2021-03-04,415.6,454.1,478.9,503.7,555.8,projected
East of England,2021-03-05,393.2,438.0,465.0,489.7,548.5,projected
East of England,2021-03-06,370.3,423.1,449.4,476.1,540.3,projected
East of England,2021-03-07,348.8,410.4,438.6,466.6,540.3,projected
East of England,2021-03-08,329.5,395.6,422.9,455.6,532.0,projected
East of England,2021-03-09,312.4,381.7,408.1,447.8,521.5,projected
East of England,2021-03-10,297.6,369.6,395.6,440.5,511.1,projected
East of England,2021-03-11,284.2,356.3,387.1,432.1,509.3,projected
East of England,2021-03-12,272.0,343.7,378.0,425.2,510.7,projected
East of England,2021-03-13,259.0,335.4,370.8,422.5,510.0,projected
East of England,2021-03-14,246.8,327.4,364.3,420.2,511.2,projected
East of England,2021-03-15,235.8,319.3,359.0,414.4,514.9,projected
East of England,2021-03-16,226.5,312.4,353.3,412.5,522.2,projected
East of England,2021-03-17,218.2,304.3,347.8,410.1,529.3,projected
East of England,2021-03-18,209.8,295.8,343.4,406.5,534.3,projected
East of England,2021-03-19,203.4,289.6,337.9,403.3,543.0,projected
East of England,2021-03-20,195.5,284.5,331.7,399.9,548.2,projected
London,2021-02-28,609.2,666.7,692.2,721.2,777.0,projected
London,2021-03-01,572.5,639.3,668.8,706.0,764.6,projected
London,2021-03-02,541.4,608.2,642.7,684.8,751.1,projected
London,2021-03-03,514.4,580.2,617.6,668.1,738.8,projected
London,2021-03-04,483.8,556.6,598.7,652.2,729.8,projected
London,2021-03-05,456.3,537.5,583.5,638.5,715.5,projected
London,2021-03-06,432.1,511.2,569.4,622.5,712.7,projected
London,2021-03-07,405.9,493.0,553.5,609.2,721.5,projected
London,2021-03-08,379.7,472.5,537.1,597.2,725.1,projected
London,2021-03-09,355.5,455.0,518.5,588.5,727.4,projected
London,2021-03-10,334.1,436.7,501.4,577.3,729.3,projected
London,2021-03-11,315.9,421.2,483.1,563.6,733.7,projected
London,2021-03-12,301.0,404.4,467.0,548.7,751.0,projected
London,2021-03-13,283.2,385.3,453.0,540.4,768.0,projected
London,2021-03-14,265.9,372.3,438.6,535.1,791.4,projected
London,2021-03-15,252.0,359.0,422.4,533.1,810.4,projected
London,2021-03-16,238.4,344.5,414.2,527.4,827.4,projected
London,2021-03-17,225.3,329.1,403.2,521.0,845.3,projected
London,2021-03-18,214.0,317.2,389.5,511.7,865.6,projected
London,2021-03-19,201.5,305.1,383.7,505.9,889.4,projected
London,2021-03-20,189.9,293.8,371.2,502.9,916.7,projected
