area,Date,C_025,C_05,C_25,C_50,C_75,C_95,C_975,provenance
"North East and Yorkshire",2021-05-07, 331.0, 341.0, 371.0, 394.5, 420.0, 456.0, 466.0,projected
"North East and Yorkshire",2021-05-08, 269.0, 277.0, 306.0, 327.0, 350.0, 384.0, 394.5,projected
"North East and Yorkshire",2021-05-09, 280.5, 289.0, 320.8, 342.0, 365.2, 396.0, 406.0,projected
"North East and Yorkshire",2021-05-10, 395.0, 409.0, 452.0, 480.0, 509.0, 558.0, 573.0,projected
"North East and Yorkshire",2021-05-11, 353.5, 368.0, 405.0, 430.0, 461.0, 503.0, 515.5,projected
"North East and Yorkshire",2021-05-12, 369.0, 381.0, 422.0, 451.0, 482.2, 528.0, 541.0,projected
"North East and Yorkshire",2021-05-13, 345.5, 359.0, 397.0, 427.0, 460.0, 503.0, 519.0,projected
"North East and Yorkshire",2021-05-14, 310.5, 320.0, 362.0, 389.0, 423.0, 468.0, 482.0,projected
"North East and Yorkshire",2021-05-15, 256.5, 267.0, 301.0, 327.0, 353.0, 397.0, 413.0,projected
"North East and Yorkshire",2021-05-16, 265.5, 275.0, 310.0, 338.0, 371.0, 421.0, 437.5,projected
"North East and Yorkshire",2021-05-17, 373.5, 389.0, 441.0, 479.0, 525.0, 590.0, 609.5,projected
"North East and Yorkshire",2021-05-18, 330.5, 344.0, 392.0, 432.0, 474.0, 539.0, 562.5,projected
"North East and Yorkshire",2021-05-19, 338.5, 359.0, 415.0, 454.0, 502.0, 574.0, 590.5,projected
"North East and Yorkshire",2021-05-20, 323.0, 339.0, 393.0, 433.0, 484.0, 554.0, 578.0,projected
"North East and Yorkshire",2021-05-21, 293.0, 307.0, 357.0, 396.0, 440.0, 516.0, 538.5,projected
"North East and Yorkshire",2021-05-22, 238.0, 252.0, 297.0, 334.0, 374.0, 441.0, 473.5,projected
"North East and Yorkshire",2021-05-23, 246.5, 260.0, 307.8, 348.0, 394.0, 466.0, 498.5,projected
"North East and Yorkshire",2021-05-24, 346.5, 371.0, 438.0, 495.0, 559.0, 672.0, 714.6,projected
"North East and Yorkshire",2021-05-25, 313.0, 329.0, 394.0, 450.0, 512.0, 621.0, 664.5,projected
"North East and Yorkshire",2021-05-26, 323.5, 345.0, 414.0, 475.0, 539.0, 670.0, 708.0,projected
"North East and Yorkshire",2021-05-27, 307.0, 325.9, 395.0, 457.0, 523.0, 650.0, 694.5,projected
"North West",2021-05-07, 272.0, 280.0, 307.0, 326.0, 347.0, 379.0, 387.0,projected
"North West",2021-05-08, 220.0, 228.0, 254.0, 272.5, 292.0, 320.0, 329.5,projected
"North West",2021-05-09, 246.5, 255.0, 286.0, 309.0, 331.0, 364.0, 375.0,projected
"North West",2021-05-10, 364.5, 380.0, 421.0, 453.0, 486.0, 535.0, 555.0,projected
"North West",2021-05-11, 342.5, 354.0, 397.0, 429.0, 465.0, 512.0, 523.0,projected
"North West",2021-05-12, 352.5, 363.0, 409.0, 446.0, 485.0, 550.0, 571.0,projected
"North West",2021-05-13, 349.5, 364.0, 419.0, 461.0, 508.0, 580.0, 605.0,projected
"North West",2021-05-14, 322.5, 336.0, 390.0, 430.0, 478.0, 559.0, 588.0,projected
"North West",2021-05-15, 267.0, 279.0, 322.0, 361.5, 406.0, 484.0, 513.0,projected
"North West",2021-05-16, 289.0, 308.0, 362.0, 410.0, 468.0, 567.0, 610.5,projected
"North West",2021-05-17, 425.4, 454.0, 535.0, 611.0, 699.0, 854.0, 931.7,projected
"North West",2021-05-18, 395.0, 424.0, 505.0, 579.0, 674.0, 858.0, 935.5,projected
"North West",2021-05-19, 400.5, 431.0, 520.0, 600.5, 712.0, 917.0,1009.0,projected
"North West",2021-05-20, 404.0, 437.0, 534.0, 623.0, 757.0, 983.2,1106.6,projected
"North West",2021-05-21, 373.0, 397.0, 494.8, 586.0, 721.0, 967.0,1078.1,projected
"North West",2021-05-22, 302.0, 323.0, 411.8, 490.5, 613.2, 849.1, 974.1,projected
