area,Date,Rt_025,Rt_05,Rt_10,Rt_20,Rt_25,Rt_30,Rt_40,Rt_50,Rt_60,Rt_70,Rt_75,Rt_80,Rt_90,Rt_95,Rt_975,provenance
"North East and Yorkshire",2021-01-22,0.80,0.80,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.83,0.83,0.83,0.84,0.86,0.87,inferred
"North East and Yorkshire",2021-01-23,0.80,0.80,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.83,0.83,0.83,0.84,0.86,0.87,inferred
"North East and Yorkshire",2021-01-24,0.80,0.80,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.83,0.83,0.83,0.84,0.86,0.87,inferred
"North East and Yorkshire",2021-01-25,0.80,0.80,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.83,0.83,0.83,0.84,0.86,0.87,inferred
"North East and Yorkshire",2021-01-26,0.80,0.80,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.83,0.83,0.83,0.84,0.86,0.87,inferred
"North East and Yorkshire",2021-01-27,0.80,0.80,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.83,0.83,0.83,0.84,0.86,0.87,inferred
"North East and Yorkshire",2021-01-28,0.80,0.80,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.83,0.83,0.83,0.84,0.86,0.87,inferred
"North East and Yorkshire",2021-01-29,0.79,0.80,0.81,0.83,0.84,0.84,0.85,0.85,0.86,0.87,0.87,0.87,0.88,0.88,0.89,inferred
"North East and Yorkshire",2021-01-30,0.79,0.80,0.81,0.83,0.84,0.84,0.85,0.85,0.86,0.87,0.87,0.87,0.88,0.88,0.89,inferred
"North East and Yorkshire",2021-01-31,0.79,0.80,0.81,0.83,0.84,0.84,0.85,0.85,0.86,0.87,0.87,0.87,0.88,0.88,0.89,inferred
