area,Date,C_025,C_05,C_25,C_50,C_75,C_95,C_975,provenance
"North East and Yorkshire",2021-04-05,  641.0,  655.0,  705.0,  742.0,  775.0,  819.0,  834.5,inferred
"North East and Yorkshire",2021-04-06,  605.5,  619.0,  668.0,  704.0,  739.2,  789.0,  800.0,inferred
"North East and Yorkshire",2021-04-07,  593.5,  609.0,  661.0,  700.0,  736.0,  781.0,  796.0,inferred
"North East and Yorkshire",2021-04-08,  546.5,  559.0,  603.0,  638.0,  670.0,  711.0,  726.0,inferred
"North East and Yorkshire",2021-04-09,  478.5,  489.0,  526.0,  552.0,  580.0,  618.0,  629.5,inferred
"North East and Yorkshire",2021-04-10,  364.5,  372.0,  402.0,  424.0,  447.2,  480.0,  491.0,inferred
"North East and Yorkshire",2021-04-11,  365.0,  375.0,  404.0,  424.0,  447.0,  477.0,  489.0,inferred
"North East and Yorkshire",2021-04-12,  500.0,  512.0,  545.0,  567.0,  591.0,  627.0,  638.5,inferred
"North East and Yorkshire",2021-04-13,  462.0,  475.0,  510.0,  534.0,  558.0,  596.0,  607.0,inferred
"North East and Yorkshire",2021-04-14,  464.0,  474.0,  504.0,  528.0,  552.2,  588.0,  601.0,inferred
"North East and Yorkshire",2021-04-15,  425.0,  436.0,  468.0,  489.0,  512.0,  544.0,  557.0,inferred
"North East and Yorkshire",2021-04-16,  374.5,  386.0,  417.0,  437.0,  460.0,  491.0,  503.0,inferred
"North East and Yorkshire",2021-04-17,  298.0,  306.0,  330.0,  348.0,  366.0,  390.0,  399.5,inferred
"North East and Yorkshire",2021-04-18,  310.0,  316.0,  345.0,  362.0,  383.0,  415.0,  422.0,inferred
"North East and Yorkshire",2021-04-19,  436.0,  448.0,  478.0,  500.0,  524.0,  558.0,  569.5,inferred
"North East and Yorkshire",2021-04-20,  426.0,  434.0,  464.0,  485.5,  509.0,  538.0,  547.5,inferred
"North East and Yorkshire",2021-04-21,  434.0,  443.0,  473.0,  494.0,  517.0,  553.0,  564.0,inferred
"North East and Yorkshire",2021-04-22,  403.0,  411.0,  442.0,  464.0,  488.0,  518.0,  528.0,inferred
"North East and Yorkshire",2021-04-23,  358.5,  366.0,  394.0,  414.0,  436.0,  468.0,  476.0,inferred
"North East and Yorkshire",2021-04-24,  274.5,  285.0,  309.0,  329.0,  347.0,  374.0,  384.0,inferred
"North East and Yorkshire",2021-04-25,  291.0,  299.0,  324.0,  342.0,  360.0,  389.0,  401.0,inferred
"North East and Yorkshire",2021-04-26,  410.0,  422.0,  449.0,  471.0,  493.0,  526.0,  537.5,inferred
"North East and Yorkshire",2021-04-27,  402.0,  408.0,  437.0,  458.0,  480.2,  512.0,  523.0,inferred
"North East and Yorkshire",2021-04-28,  405.0,  414.0,  446.0,  469.0,  492.0,  524.0,  534.0,inferred
"North East and Yorkshire",2021-04-29,  379.0,  389.0,  416.0,  437.0,  459.0,  494.0,  501.0,inferred
"North East and Yorkshire",2021-04-30,  340.0,  347.0,  372.0,  394.0,  413.0,  442.0,  451.0,inferred
"North East and Yorkshire",2021-05-01,  261.0,  268.0,  293.0,  309.0,  327.0,  353.0,  365.5,inferred
"North East and Yorkshire",2021-05-02,  276.0,  282.0,  305.0,  323.0,  341.0,  366.0,  375.0,inferred
"North East and Yorkshire",2021-05-03,  386.0,  394.0,  424.0,  445.0,  467.0,  501.0,  510.0,inferred
"North East and Yorkshire",2021-05-04,  372.5,  383.0,  413.0,  433.0,  454.0,  485.0,  496.0,inferred
"North East and Yorkshire",2021-05-05,  384.0,  393.0,  422.0,  444.0,  466.0,  498.0,  509.0,inferred
"North East and Yorkshire",2021-05-06,  357.0,  365.0,  394.0,  415.0,  436.0,  466.0,  476.0,inferred
"North East and Yorkshire",2021-05-07,  320.0,  328.0,  353.0,  372.0,  391.0,  420.0,  428.0,inferred
"North East and Yorkshire",2021-05-08,  245.0,  253.0,  275.8,  293.0,  310.0,  337.0,  347.0,inferred
"North East and Yorkshire",2021-05-09,  251.0,  261.0,  285.0,  303.0,  320.0,  345.0,  355.0,inferred
"North East and Yorkshire",2021-05-10,  359.0,  367.0,  394.0,  415.0,  436.0,  466.0,  475.0,inferred
"North East and Yorkshire",2021-05-11,  346.0,  356.0,  382.0,  402.5,  423.0,  454.0,  464.0,inferred
"North East and Yorkshire",2021-05-12,  349.5,  359.0,  388.0,  408.0,  430.0,  462.0,  470.0,inferred
"North East and Yorkshire",2021-05-13,  329.0,  339.0,  365.0,  385.0,  404.0,  435.0,  445.0,inferred
"North East and Yorkshire",2021-05-14,  297.5,  307.0,  332.0,  350.0,  370.0,  398.0,  407.0,inferred
"North East and Yorkshire",2021-05-15,  233.5,  240.0,  264.0,  282.0,  297.2,  322.0,  330.5,inferred
