area,Date,Rt_025,Rt_05,Rt_10,Rt_20,Rt_25,Rt_30,Rt_40,Rt_50,Rt_60,Rt_70,Rt_75,Rt_80,Rt_90,Rt_95,Rt_975,provenance
"North East and Yorkshire",2020-12-19,1.34,1.35,1.36,1.40,1.44,1.46,1.49,1.52,1.54,1.56,1.57,1.58,1.60,1.61,1.63,inferred
"North East and Yorkshire",2020-12-20,1.34,1.35,1.36,1.40,1.44,1.46,1.49,1.52,1.54,1.56,1.57,1.58,1.60,1.61,1.63,inferred
"North East and Yorkshire",2020-12-21,1.34,1.35,1.36,1.40,1.44,1.46,1.49,1.52,1.54,1.56,1.57,1.58,1.60,1.61,1.63,inferred
"North East and Yorkshire",2020-12-22,1.34,1.35,1.36,1.40,1.44,1.46,1.49,1.52,1.54,1.56,1.57,1.58,1.60,1.61,1.63,inferred
"North East and Yorkshire",2020-12-23,1.34,1.35,1.36,1.40,1.44,1.46,1.49,1.52,1.54,1.56,1.57,1.58,1.60,1.61,1.63,inferred
"North East and Yorkshire",2020-12-24,1.34,1.35,1.36,1.40,1.44,1.46,1.49,1.52,1.54,1.56,1.57,1.58,1.60,1.61,1.63,inferred
"North East and Yorkshire",2020-12-25,1.34,1.35,1.36,1.40,1.44,1.46,1.49,1.52,1.54,1.56,1.57,1.58,1.60,1.61,1.63,inferred
"North East and Yorkshire",2020-12-26,1.07,1.08,1.10,1.13,1.14,1.20,1.26,1.29,1.32,1.34,1.36,1.37,1.40,1.41,1.42,inferred
"North East and Yorkshire",2020-12-27,1.07,1.08,1.10,1.13,1.14,1.20,1.26,1.29,1.32,1.34,1.36,1.37,1.40,1.41,1.42,inferred
"North East and Yorkshire",2020-12-28,1.07,1.08,1.10,1.13,1.14,1.20,1.26,1.29,1.32,1.34,1.36,1.37,1.40,1.41,1.42,inferred
"North East and Yorkshire",2020-12-29,1.07,1.08,1.10,1.13,1.14,1.20,1.26,1.29,1.32,1.34,1.36,1.37,1.40,1.41,1.42,inferred
"North East and Yorkshire",2020-12-30,1.07,1.08,1.10,1.13,1.14,1.20,1.26,1.29,1.32,1.34,1.36,1.37,1.40,1.41,1.42,inferred
"North East and Yorkshire",2020-12-31,1.07,1.08,1.10,1.13,1.14,1.20,1.26,1.29,1.32,1.34,1.36,1.37,1.40,1.41,1.42,inferred
"North East and Yorkshire",2021-01-01,1.07,1.08,1.10,1.13,1.14,1.20,1.26,1.29,1.32,1.34,1.36,1.37,1.40,1.41,1.42,inferred
"North East and Yorkshire",2021-01-02,0.79,0.79,0.80,0.81,0.81,0.82,0.82,0.83,0.83,0.84,0.84,0.84,0.85,0.86,0.86,inferred
"North East and Yorkshire",2021-01-03,0.79,0.79,0.80,0.81,0.81,0.82,0.82,0.83,0.83,0.84,0.84,0.84,0.85,0.86,0.86,inferred
"North East and Yorkshire",2021-01-04,0.79,0.79,0.80,0.81,0.81,0.82,0.82,0.83,0.83,0.84,0.84,0.84,0.85,0.86,0.86,inferred
"North East and Yorkshire",2021-01-05,0.79,0.79,0.80,0.81,0.81,0.82,0.82,0.83,0.83,0.84,0.84,0.84,0.85,0.86,0.86,inferred
"North East and Yorkshire",2021-01-06,0.79,0.79,0.80,0.81,0.81,0.82,0.82,0.83,0.83,0.84,0.84,0.84,0.85,0.86,0.86,inferred
"North East and Yorkshire",2021-01-07,0.79,0.79,0.80,0.81,0.81,0.82,0.82,0.83,0.83,0.84,0.84,0.84,0.85,0.86,0.86,inferred
"North East and Yorkshire",2021-01-08,0.79,0.79,0.80,0.81,0.81,0.82,0.82,0.83,0.83,0.84,0.84,0.84,0.85,0.86,0.86,inferred
"North East and Yorkshire",2021-01-09,0.82,0.83,0.83,0.84,0.85,0.85,0.86,0.87,0.88,0.89,0.90,0.90,0.92,0.93,0.93,inferred
"North East and Yorkshire",2021-01-10,0.82,0.83,0.83,0.84,0.85,0.85,0.86,0.87,0.88,0.89,0.90,0.90,0.92,0.93,0.93,inferred
"North East and Yorkshire",2021-01-11,0.82,0.83,0.83,0.84,0.85,0.85,0.86,0.87,0.88,0.89,0.90,0.90,0.92,0.93,0.93,inferred
"North East and Yorkshire",2021-01-12,0.82,0.83,0.83,0.84,0.85,0.85,0.86,0.87,0.88,0.89,0.90,0.90,0.92,0.93,0.93,inferred
"North East and Yorkshire",2021-01-13,0.82,0.83,0.83,0.84,0.85,0.85,0.86,0.87,0.88,0.89,0.90,0.90,0.92,0.93,0.93,inferred
"North East and Yorkshire",2021-01-14,0.82,0.83,0.83,0.84,0.85,0.85,0.86,0.87,0.88,0.89,0.90,0.90,0.92,0.93,0.93,inferred
"North East and Yorkshire",2021-01-15,0.82,0.83,0.83,0.84,0.85,0.85,0.86,0.87,0.88,0.89,0.90,0.90,0.92,0.93,0.93,inferred
"North East and Yorkshire",2021-01-16,0.77,0.77,0.78,0.79,0.79,0.80,0.81,0.81,0.82,0.84,0.85,0.86,0.87,0.88,0.89,inferred
"North East and Yorkshire",2021-01-17,0.77,0.77,0.78,0.79,0.79,0.80,0.81,0.81,0.82,0.84,0.85,0.86,0.87,0.88,0.89,inferred
"North East and Yorkshire",2021-01-18,0.77,0.77,0.78,0.79,0.79,0.80,0.81,0.81,0.82,0.84,0.85,0.86,0.87,0.88,0.89,inferred
"North East and Yorkshire",2021-01-19,0.77,0.77,0.78,0.79,0.79,0.80,0.81,0.81,0.82,0.84,0.85,0.86,0.87,0.88,0.89,inferred
"North East and Yorkshire",2021-01-20,0.77,0.77,0.78,0.79,0.79,0.80,0.81,0.81,0.82,0.84,0.85,0.86,0.87,0.88,0.89,inferred
"North East and Yorkshire",2021-01-21,0.77,0.77,0.78,0.79,0.79,0.80,0.81,0.81,0.82,0.84,0.85,0.86,0.87,0.88,0.89,inferred
"North East and Yorkshire",2021-01-22,0.77,0.77,0.78,0.79,0.79,0.80,0.81,0.81,0.82,0.84,0.85,0.86,0.87,0.88,0.89,inferred
"North East and Yorkshire",2021-01-23,0.76,0.77,0.78,0.79,0.79,0.80,0.81,0.82,0.83,0.85,0.86,0.87,0.88,0.89,0.90,inferred
"North East and Yorkshire",2021-01-24,0.76,0.77,0.78,0.79,0.79,0.80,0.81,0.82,0.83,0.85,0.86,0.87,0.88,0.89,0.90,inferred
"North East and Yorkshire",2021-01-25,0.76,0.77,0.78,0.79,0.79,0.80,0.81,0.82,0.83,0.85,0.86,0.87,0.88,0.89,0.90,inferred
"North East and Yorkshire",2021-01-26,0.76,0.77,0.78,0.79,0.79,0.80,0.81,0.82,0.83,0.85,0.86,0.87,0.88,0.89,0.90,inferred
"North East and Yorkshire",2021-01-27,0.76,0.77,0.78,0.79,0.79,0.80,0.81,0.82,0.83,0.85,0.86,0.87,0.88,0.89,0.90,inferred
"North East and Yorkshire",2021-01-28,0.76,0.77,0.78,0.79,0.79,0.80,0.81,0.82,0.83,0.85,0.86,0.87,0.88,0.89,0.90,inferred
"North East and Yorkshire",2021-01-29,0.76,0.77,0.78,0.79,0.79,0.80,0.81,0.82,0.83,0.85,0.86,0.87,0.88,0.89,0.90,inferred
"North East and Yorkshire",2021-01-30,0.79,0.80,0.80,0.82,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.91,0.92,0.92,inferred
"North East and Yorkshire",2021-01-31,0.79,0.80,0.80,0.82,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.91,0.92,0.92,inferred
"North East and Yorkshire",2021-02-01,0.79,0.80,0.80,0.82,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.91,0.92,0.92,inferred
"North East and Yorkshire",2021-02-02,0.79,0.80,0.80,0.82,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.91,0.92,0.92,inferred
"North East and Yorkshire",2021-02-03,0.79,0.80,0.80,0.82,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.91,0.92,0.92,inferred
"North East and Yorkshire",2021-02-04,0.79,0.80,0.80,0.82,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.91,0.92,0.92,inferred
"North East and Yorkshire",2021-02-05,0.79,0.80,0.80,0.82,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.91,0.92,0.92,inferred
"North East and Yorkshire",2021-02-06,0.83,0.84,0.85,0.86,0.86,0.87,0.88,0.89,0.90,0.91,0.92,0.92,0.94,0.95,0.96,inferred
"North East and Yorkshire",2021-02-07,0.83,0.84,0.85,0.86,0.86,0.87,0.88,0.89,0.90,0.91,0.92,0.92,0.94,0.95,0.96,inferred
