area,Date,C_025,C_05,C_25,C_50,C_75,C_95,C_975,provenance
"North East and Yorkshire",2021-11-19, 3922.9, 3965.0, 4135.8, 4259.0, 4377.2, 4552.1, 4617.5,inferred
"North East and Yorkshire",2021-11-20, 2822.0, 2889.9, 3073.0, 3190.0, 3304.0, 3473.0, 3527.0,inferred
"North East and Yorkshire",2021-11-21, 3537.0, 3612.0, 3864.8, 4022.0, 4159.2, 4355.0, 4413.5,inferred
"North East and Yorkshire",2021-11-22, 4902.4, 4972.9, 5240.0, 5456.5, 5646.0, 5868.0, 5958.0,inferred
"North East and Yorkshire",2021-11-23, 5077.9, 5159.0, 5402.0, 5575.0, 5768.0, 5987.0, 6074.0,inferred
"North East and Yorkshire",2021-11-24, 5140.9, 5212.0, 5420.8, 5590.0, 5748.0, 5954.0, 6039.0,inferred
"North East and Yorkshire",2021-11-25, 4604.4, 4652.0, 4833.0, 4965.0, 5099.0, 5293.0, 5363.5,inferred
"North East and Yorkshire",2021-11-26, 3877.9, 3919.9, 4094.8, 4212.0, 4336.2, 4510.1, 4579.0,inferred
"North East and Yorkshire",2021-11-27, 2889.9, 2930.0, 3068.5, 3160.5, 3260.0, 3410.0, 3453.0,inferred
"North East and Yorkshire",2021-11-28, 3683.5, 3727.0, 3888.8, 4019.0, 4133.2, 4300.0, 4368.0,inferred
"North East and Yorkshire",2021-11-29, 5078.0, 5126.0, 5327.0, 5463.5, 5603.2, 5799.1, 5856.5,inferred
"North East and Yorkshire",2021-11-30, 5225.0, 5287.0, 5465.0, 5600.0, 5729.2, 5950.2, 6016.0,inferred
"North East and Yorkshire",2021-12-01, 5220.5, 5274.0, 5454.0, 5586.0, 5716.2, 5934.0, 6005.7,inferred
"North East and Yorkshire",2021-12-02, 4606.0, 4651.0, 4835.0, 4961.5, 5082.0, 5280.1, 5320.0,inferred
"North East and Yorkshire",2021-12-03, 3837.5, 3901.9, 4055.8, 4168.5, 4293.0, 4475.0, 4523.6,inferred
"North East and Yorkshire",2021-12-04, 2846.5, 2889.9, 3032.0, 3132.0, 3228.0, 3384.1, 3429.5,inferred
"North East and Yorkshire",2021-12-05, 3626.4, 3687.9, 3847.8, 3952.0, 4067.0, 4245.0, 4309.5,inferred
"North East and Yorkshire",2021-12-06, 5036.4, 5106.9, 5295.8, 5433.0, 5577.0, 5788.0, 5860.6,inferred
"North East and Yorkshire",2021-12-07, 5280.0, 5350.0, 5545.8, 5686.0, 5835.0, 6055.1, 6125.0,inferred
"North East and Yorkshire",2021-12-08, 5429.0, 5497.9, 5680.8, 5811.5, 5963.0, 6158.0, 6208.0,inferred
"North East and Yorkshire",2021-12-09, 4912.0, 4966.0, 5172.0, 5302.0, 5437.0, 5650.0, 5704.0,inferred
"North East and Yorkshire",2021-12-10, 4237.5, 4287.0, 4467.0, 4596.5, 4715.0, 4907.0, 4952.5,inferred
"North East and Yorkshire",2021-12-11, 3191.4, 3240.9, 3402.8, 3528.0, 3636.2, 3803.0, 3852.6,inferred
"North East and Yorkshire",2021-12-12, 4159.0, 4228.9, 4433.0, 4561.5, 4699.2, 4907.1, 4963.5,inferred
"North East and Yorkshire",2021-12-13, 6148.0, 6208.0, 6421.8, 6583.0, 6741.0, 6985.0, 7059.5,inferred
"North East and Yorkshire",2021-12-14, 6888.0, 6945.0, 7173.0, 7344.5, 7517.0, 7783.0, 7868.0,inferred
"North East and Yorkshire",2021-12-15, 7506.9, 7615.9, 7859.8, 8033.0, 8228.0, 8488.0, 8604.6,inferred
"North East and Yorkshire",2021-12-16, 7304.0, 7371.8, 7631.8, 7802.0, 7960.0, 8229.1, 8329.0,inferred
"North East and Yorkshire",2021-12-17, 6727.4, 6787.0, 7003.0, 7167.0, 7315.0, 7567.1, 7648.0,inferred
"North East and Yorkshire",2021-12-18, 5433.3, 5492.0, 5683.0, 5823.0, 5965.2, 6154.2, 6246.2,inferred
"North East and Yorkshire",2021-12-19, 7471.4, 7541.9, 7779.8, 7937.0, 8110.0, 8354.1, 8439.6,inferred
"North East and Yorkshire",2021-12-20,11255.4,11354.8,11680.0,11883.0,12109.0,12437.4,12555.6,inferred
"North East and Yorkshire",2021-12-21,12841.3,12954.6,13282.0,13501.5,13729.0,14084.2,14201.5,inferred
"North East and Yorkshire",2021-12-22,14394.3,14486.0,14791.0,15013.5,15252.0,15575.0,15664.1,inferred
"North East and Yorkshire",2021-12-23,14200.6,14285.9,14607.0,14810.5,15019.0,15365.1,15476.5,inferred
"North East and Yorkshire",2021-12-24,13211.0,13323.0,13631.8,13854.5,14080.0,14421.1,14511.5,inferred
"North East and Yorkshire",2021-12-25,10844.5,10968.0,11285.8,11510.5,11728.0,12026.2,12088.5,inferred
"North East and Yorkshire",2021-12-26,15085.8,15289.9,15776.0,16093.0,16400.5,16766.1,16879.3,inferred
"North East and Yorkshire",2021-12-27,23066.9,23253.9,23829.0,24200.0,24580.2,25107.0,25272.5,inferred
"North East and Yorkshire",2021-12-28,26305.7,26508.3,27020.8,27385.0,27745.2,28262.0,28397.6,inferred
"North East and Yorkshire",2021-12-29,29111.3,29269.5,29772.8,30116.5,30460.8,31008.1,31161.2,inferred
"North East and Yorkshire",2021-12-30,28298.9,28456.8,29018.5,29418.0,29847.5,30421.6,30592.5,inferred
"North East and Yorkshire",2021-12-31,26166.9,26349.7,26947.2,27363.0,27816.0,28553.1,28801.9,inferred
"North East and Yorkshire",2022-01-01,21403.9,21584.0,22186.8,22590.0,23043.2,23646.2,23824.7,inferred
"North East and Yorkshire",2022-01-02,29684.8,29937.0,30694.0,31166.5,31711.0,32563.1,32828.5,inferred
"North East and Yorkshire",2022-01-03,41717.4,42016.7,42719.5,43208.5,43709.2,44375.0,44583.7,inferred
"North East and Yorkshire",2022-01-04,39495.4,39824.8,40798.5,41494.5,42267.0,43289.0,43579.5,inferred
"North East and Yorkshire",2022-01-05,35247.4,35485.9,36689.8,37452.5,38105.8,39203.8,39496.1,inferred
"North East and Yorkshire",2022-01-06,27755.6,28070.0,29176.0,29692.5,30169.0,30824.2,30995.7,inferred
"North East and Yorkshire",2022-01-07,21133.8,21427.9,22078.8,22462.0,22789.2,23302.2,23472.6,inferred
"North East and Yorkshire",2022-01-08,14417.2,14543.5,14915.0,15167.0,15417.0,15781.0,15904.6,inferred
"North East and Yorkshire",2022-01-09,16734.5,16858.8,17182.0,17472.0,17735.0,18145.3,18275.0,inferred
"North East and Yorkshire",2022-01-10,21183.0,21346.9,21862.5,22245.0,22735.2,23487.2,23680.2,inferred
