area,Date,C_025,C_05,C_25,C_50,C_75,C_95,C_975,provenance
"North East and Yorkshire",2022-03-04,  2698.0,  2747.8,  2918.0,  3035.0,  3164.0,  3341.1,  3389.5,projected
"North East and Yorkshire",2022-03-05,  2049.0,  2097.0,  2236.0,  2354.5,  2470.0,  2657.0,  2713.0,projected
"North East and Yorkshire",2022-03-06,  2643.4,  2714.0,  2918.0,  3067.0,  3227.0,  3465.1,  3541.5,projected
"North East and Yorkshire",2022-03-07,  3669.3,  3777.0,  4084.5,  4331.5,  4580.0,  4957.2,  5129.7,projected
"North East and Yorkshire",2022-03-08,  3857.4,  3977.4,  4324.0,  4612.0,  4912.8,  5391.1,  5572.0,projected
"North East and Yorkshire",2022-03-09,  3881.4,  3990.9,  4456.5,  4799.0,  5170.2,  5817.6,  5986.0,projected
"North East and Yorkshire",2022-03-10,  3545.0,  3645.9,  4085.0,  4449.0,  4881.0,  5628.1,  5848.6,projected
"North East and Yorkshire",2022-03-11,  2963.4,  3102.4,  3563.8,  3948.0,  4359.5,  5175.5,  5517.6,projected
"North East and Yorkshire",2022-03-12,  2241.8,  2327.6,  2749.0,  3091.5,  3491.0,  4248.3,  4562.1,projected
"North East and Yorkshire",2022-03-13,  2872.4,  3047.6,  3604.0,  4096.0,  4690.2,  5952.1,  6450.5,projected
"North East and Yorkshire",2022-03-14,  4020.5,  4234.0,  5120.8,  5920.0,  6860.8,  9039.3, 10023.8,projected
"North East and Yorkshire",2022-03-15,  4182.6,  4459.6,  5453.5,  6427.0,  7582.5, 10465.0, 11642.4,projected
"North East and Yorkshire",2022-03-16,  4262.9,  4580.5,  5704.0,  6807.5,  8288.2, 11749.0, 13033.1,projected
"North East and Yorkshire",2022-03-17,  3915.2,  4168.8,  5347.8,  6454.0,  8079.2, 12005.0, 13564.4,projected
"North East and Yorkshire",2022-03-18,  3335.8,  3611.9,  4772.5,  5833.5,  7465.8, 11697.9, 13456.6,projected
"North East and Yorkshire",2022-03-19,  2598.9,  2759.9,  3768.8,  4689.0,  6174.0, 10270.2, 12187.4,projected
"North East and Yorkshire",2022-03-20,  3297.4,  3622.0,  5033.0,  6472.5,  8731.2, 15172.8, 18526.4,projected
"North East and Yorkshire",2022-03-21,  4582.0,  5134.7,  7253.2,  9551.0, 13311.0, 24551.9, 30390.4,projected
"North East and Yorkshire",2022-03-22,  4878.0,  5474.2,  7947.0, 10663.5, 15249.5, 29965.6, 38051.5,projected
"North East and Yorkshire",2022-03-23,  4970.0,  5669.4,  8464.0, 11600.5, 17335.2, 35823.9, 47258.8,projected
"North East and Yorkshire",2022-03-24,  4552.0,  5189.5,  8142.8, 11450.0, 17656.2, 40301.8, 53080.9,projected
"North West",2022-03-04,  2171.0,  2212.9,  2357.0,  2459.0,  2571.0,  2720.1,  2764.0,projected
"North West",2022-03-05,  1633.9,  1679.0,  1804.0,  1905.0,  2005.0,  2150.1,  2199.6,projected
"North West",2022-03-06,  2147.9,  2202.9,  2385.8,  2523.0,  2653.0,  2879.1,  2939.6,projected
"North West",2022-03-07,  3090.5,  3171.0,  3483.8,  3694.0,  3932.2,  4285.2,  4391.6,projected
"North West",2022-03-08,  3251.3,  3348.8,  3726.0,  3982.5,  4280.0,  4750.2,  4957.5,projected
"North West",2022-03-09,  3284.9,  3398.9,  3860.5,  4195.5,  4567.5,  5241.3,  5475.8,projected
"North West",2022-03-10,  2938.4,  3081.8,  3535.8,  3889.5,  4310.0,  5088.0,  5380.4,projected
"North West",2022-03-11,  2456.0,  2573.8,  3002.0,  3374.0,  3819.2,  4608.1,  4884.6,projected
"North West",2022-03-12,  1781.5,  1899.7,  2291.8,  2630.0,  3009.8,  3732.5,  4012.5,projected
"North West",2022-03-13,  2332.4,  2465.0,  3016.5,  3503.5,  4139.0,  5238.0,  5817.1,projected
"North West",2022-03-14,  3292.8,  3552.7,  4394.8,  5181.0,  6217.0,  8292.0,  8885.2,projected
"North West",2022-03-15,  3548.5,  3761.0,  4739.0,  5647.5,  6917.2,  9571.0, 10589.8,projected
"North West",2022-03-16,  3612.9,  3834.8,  4962.8,  6018.0,  7524.2, 10909.2, 12122.8,projected
"North West",2022-03-17,  3227.9,  3473.9,  4559.0,  5634.5,  7238.5, 10822.3, 12435.5,projected
