area,Date,Rt_025,Rt_05,Rt_10,Rt_20,Rt_25,Rt_30,Rt_40,Rt_50,Rt_60,Rt_70,Rt_75,Rt_80,Rt_90,Rt_95,Rt_975,provenance
"North East and Yorkshire",2022-02-04,  0.54,  0.54,  0.57,  0.59,  0.59,  0.60,  0.60,  0.61,  0.62,  0.62,  0.63,  0.64,  0.67,  0.68,  0.68,inferred
"North East and Yorkshire",2022-02-05,  0.54,  0.54,  0.57,  0.59,  0.59,  0.60,  0.60,  0.61,  0.62,  0.62,  0.63,  0.64,  0.67,  0.68,  0.68,inferred
"North East and Yorkshire",2022-02-06,  0.54,  0.54,  0.57,  0.59,  0.59,  0.60,  0.60,  0.61,  0.62,  0.62,  0.63,  0.64,  0.67,  0.68,  0.68,inferred
"North East and Yorkshire",2022-02-07,  0.54,  0.54,  0.57,  0.59,  0.59,  0.60,  0.60,  0.61,  0.62,  0.62,  0.63,  0.64,  0.67,  0.68,  0.68,inferred
"North East and Yorkshire",2022-02-08,  0.54,  0.54,  0.57,  0.59,  0.59,  0.60,  0.60,  0.61,  0.62,  0.62,  0.63,  0.64,  0.67,  0.68,  0.68,inferred
"North East and Yorkshire",2022-02-09,  0.54,  0.54,  0.57,  0.59,  0.59,  0.60,  0.60,  0.61,  0.62,  0.62,  0.63,  0.64,  0.67,  0.68,  0.68,inferred
"North East and Yorkshire",2022-02-10,  0.54,  0.54,  0.57,  0.59,  0.59,  0.60,  0.60,  0.61,  0.62,  0.62,  0.63,  0.64,  0.67,  0.68,  0.68,inferred
"North East and Yorkshire",2022-02-11,  0.57,  0.57,  0.59,  0.68,  0.71,  0.72,  0.73,  0.74,  0.76,  0.79,  0.80,  0.82,  0.85,  0.87,  0.88,inferred
"North East and Yorkshire",2022-02-12,  0.57,  0.57,  0.59,  0.68,  0.71,  0.72,  0.73,  0.74,  0.76,  0.79,  0.80,  0.82,  0.85,  0.87,  0.88,inferred
"North East and Yorkshire",2022-02-13,  0.57,  0.57,  0.59,  0.68,  0.71,  0.72,  0.73,  0.74,  0.76,  0.79,  0.80,  0.82,  0.85,  0.87,  0.88,inferred
"North East and Yorkshire",2022-02-14,  0.57,  0.57,  0.59,  0.68,  0.71,  0.72,  0.73,  0.74,  0.76,  0.79,  0.80,  0.82,  0.85,  0.87,  0.88,inferred
"North East and Yorkshire",2022-02-15,  0.57,  0.57,  0.59,  0.68,  0.71,  0.72,  0.73,  0.74,  0.76,  0.79,  0.80,  0.82,  0.85,  0.87,  0.88,inferred
"North East and Yorkshire",2022-02-16,  0.57,  0.57,  0.59,  0.68,  0.71,  0.72,  0.73,  0.74,  0.76,  0.79,  0.80,  0.82,  0.85,  0.87,  0.88,inferred
"North East and Yorkshire",2022-02-17,  0.57,  0.57,  0.59,  0.68,  0.71,  0.72,  0.73,  0.74,  0.76,  0.79,  0.80,  0.82,  0.85,  0.87,  0.88,inferred
"North East and Yorkshire",2022-02-18,  0.73,  0.74,  0.76,  0.82,  0.85,  0.86,  0.89,  0.92,  0.94,  0.96,  0.98,  1.00,  1.03,  1.04,  1.05,inferred
"North East and Yorkshire",2022-02-19,  0.73,  0.74,  0.76,  0.82,  0.85,  0.86,  0.89,  0.92,  0.94,  0.96,  0.98,  1.00,  1.03,  1.04,  1.05,inferred
"North East and Yorkshire",2022-02-20,  0.73,  0.74,  0.76,  0.82,  0.85,  0.86,  0.89,  0.92,  0.94,  0.96,  0.98,  1.00,  1.03,  1.04,  1.05,inferred
"North East and Yorkshire",2022-02-21,  0.73,  0.74,  0.76,  0.82,  0.85,  0.86,  0.89,  0.92,  0.94,  0.96,  0.98,  1.00,  1.03,  1.04,  1.05,inferred
"North East and Yorkshire",2022-02-22,  0.73,  0.74,  0.76,  0.82,  0.85,  0.86,  0.89,  0.92,  0.94,  0.96,  0.98,  1.00,  1.03,  1.04,  1.05,inferred
"North East and Yorkshire",2022-02-23,  0.73,  0.74,  0.76,  0.82,  0.85,  0.86,  0.89,  0.92,  0.94,  0.96,  0.98,  1.00,  1.03,  1.04,  1.05,inferred
