area,Date,C_025,C_05,C_25,C_50,C_75,C_95,C_975,provenance
"North East and Yorkshire",2022-05-25,   696.0,   712.0,   754.0,   784.0,   816.0,   854.0,   871.0,projected
"North East and Yorkshire",2022-05-26,   584.5,   598.0,   638.0,   664.5,   695.0,   739.0,   752.0,projected
"North East and Yorkshire",2022-05-27,   492.5,   504.0,   541.0,   569.0,   595.0,   637.0,   653.0,projected
"North East and Yorkshire",2022-05-28,   420.0,   430.0,   463.0,   488.0,   514.0,   552.0,   564.0,projected
"North East and Yorkshire",2022-05-29,   489.0,   504.0,   548.0,   576.0,   608.0,   655.0,   672.0,projected
"North East and Yorkshire",2022-05-30,   642.0,   657.0,   713.0,   755.0,   798.0,   859.0,   882.0,projected
"North East and Yorkshire",2022-05-31,   569.5,   593.0,   649.0,   691.0,   734.0,   800.0,   824.5,projected
"North East and Yorkshire",2022-06-01,   522.0,   543.0,   605.0,   647.0,   694.0,   769.0,   790.0,projected
"North East and Yorkshire",2022-06-02,   441.0,   460.0,   517.0,   558.0,   599.0,   671.0,   688.0,projected
"North East and Yorkshire",2022-06-03,   374.5,   392.0,   443.0,   482.0,   521.0,   586.0,   612.1,projected
"North East and Yorkshire",2022-06-04,   312.5,   331.0,   379.0,   417.0,   454.0,   522.0,   545.0,projected
"North East and Yorkshire",2022-06-05,   372.0,   391.0,   452.0,   499.0,   550.0,   637.0,   661.0,projected
"North East and Yorkshire",2022-06-06,   487.0,   510.0,   596.0,   658.0,   730.0,   861.0,   902.5,projected
"North East and Yorkshire",2022-06-07,   439.0,   464.0,   545.0,   610.0,   684.0,   810.0,   848.0,projected
"North East and Yorkshire",2022-06-08,   412.4,   440.0,   519.0,   583.0,   655.2,   787.1,   833.0,projected
"North East and Yorkshire",2022-06-09,   344.0,   369.0,   446.0,   506.5,   572.0,   698.0,   745.1,projected
"North East and Yorkshire",2022-06-10,   298.0,   313.0,   387.0,   444.0,   511.0,   636.0,   687.0,projected
"North East and Yorkshire",2022-06-11,   254.0,   270.0,   335.0,   389.0,   454.0,   579.0,   628.0,projected
"North East and Yorkshire",2022-06-12,   302.0,   323.0,   407.0,   476.0,   555.2,   717.0,   781.0,projected
"North East and Yorkshire",2022-06-13,   391.5,   424.8,   543.8,   633.0,   757.0,   999.2,  1084.0,projected
"North East and Yorkshire",2022-06-14,   357.0,   390.0,   501.0,   597.5,   717.5,   980.0,  1075.5,projected
"North West",2022-05-25,   513.0,   526.0,   560.0,   586.0,   611.0,   649.0,   661.5,projected
"North West",2022-05-26,   427.0,   439.0,   467.0,   494.0,   519.2,   558.0,   569.0,projected
"North West",2022-05-27,   365.0,   374.0,   408.8,   431.0,   454.0,   489.0,   501.0,projected
"North West",2022-05-28,   296.0,   305.0,   338.0,   361.0,   383.0,   414.0,   426.5,projected
"North West",2022-05-29,   352.5,   365.0,   400.0,   427.0,   453.0,   498.0,   513.0,projected
"North West",2022-05-30,   456.5,   473.0,   524.0,   563.0,   599.0,   658.0,   683.5,projected
"North West",2022-05-31,   407.0,   422.0,   473.0,   510.0,   547.0,   606.0,   628.5,projected
