area,Date,C_lower,C_median,C_upper
Aberdeen City,2020-07-09,0.16779000000000002,0.28883000000000003,0.47541000000000005
Aberdeen City,2020-07-10,0.15517999999999998,0.26889,0.44706999999999997
Aberdeen City,2020-07-11,0.14313,0.25444,0.43932
Aberdeen City,2020-07-12,0.13132,0.24348000000000003,0.44556999999999997
Aberdeen City,2020-07-13,0.11995,0.23453000000000002,0.45943
Aberdeen City,2020-07-14,0.10925,0.22669,0.47703
Aberdeen City,2020-07-15,0.09932,0.21945,0.49648000000000003
Aberdeen City,2020-07-16,0.09018999999999999,0.21258000000000002,0.517
Aberdeen City,2020-07-17,0.08185,0.20597,0.53833
Aberdeen City,2020-07-18,0.07427,0.19957,0.5604600000000001
Aberdeen City,2020-07-19,0.06738,0.19336,0.58343
Aberdeen City,2020-07-20,0.06112000000000001,0.18734,0.6073
Aberdeen City,2020-07-21,0.05545,0.1815,0.63213
Aberdeen City,2020-07-22,0.0503,0.17584,0.65795
Aberdeen City,2020-07-23,0.045630000000000004,0.17035999999999998,0.68483
Aberdeen City,2020-07-24,0.0414,0.16504000000000002,0.71281
Aberdeen City,2020-07-25,0.03755,0.15989,0.74193
Aberdeen City,2020-07-26,0.034069999999999996,0.15491,0.7722399999999999
Aberdeen City,2020-07-27,0.030910000000000003,0.15007,0.80379
Aberdeen City,2020-07-28,0.02804,0.14539000000000002,0.83662
Aberdeen City,2020-07-29,0.02544,0.14085999999999999,0.8708
Aberdeenshire,2020-07-09,0.19166,0.32993,0.5430699999999999
Aberdeenshire,2020-07-10,0.17726,0.30716,0.51068
Aberdeenshire,2020-07-11,0.1635,0.29065,0.50184
Aberdeenshire,2020-07-12,0.15,0.27813000000000004,0.50897
Aberdeenshire,2020-07-13,0.13702,0.2679,0.5248
Aberdeenshire,2020-07-14,0.1248,0.25894,0.54491
Aberdeenshire,2020-07-15,0.11345,0.25068,0.56713
Aberdeenshire,2020-07-16,0.10302,0.24283000000000002,0.5905699999999999
Aberdeenshire,2020-07-17,0.0935,0.23528000000000002,0.6149399999999999
Aberdeenshire,2020-07-18,0.08484,0.22796999999999998,0.64022
Aberdeenshire,2020-07-19,0.07696,0.22088000000000002,0.66646
Aberdeenshire,2020-07-20,0.06982000000000001,0.214,0.69372
Aberdeenshire,2020-07-21,0.06334,0.20733000000000001,0.72208
Aberdeenshire,2020-07-22,0.057460000000000004,0.20087,0.75158
Aberdeenshire,2020-07-23,0.05212000000000001,0.1946,0.7822899999999999
Aberdeenshire,2020-07-24,0.04729,0.18853,0.81424
